@relation '.\\uk-2007-05.content_based_features.csv'

@attribute HST_1 numeric
@attribute HST_2 numeric
@attribute HST_3 numeric
@attribute HST_4 numeric
@attribute HST_5 numeric
@attribute HST_6 numeric
@attribute HST_7 numeric
@attribute HST_8 numeric
@attribute HST_9 numeric
@attribute HST_10 numeric
@attribute HST_11 numeric
@attribute HST_12 numeric
@attribute HST_13 numeric
@attribute HST_14 numeric
@attribute HST_15 numeric
@attribute HST_16 numeric
@attribute HST_17 numeric
@attribute HST_18 numeric
@attribute HST_19 numeric
@attribute HST_20 numeric
@attribute HST_21 numeric
@attribute HST_22 numeric
@attribute HST_23 numeric
@attribute HST_24 numeric
@attribute HMG_25 numeric
@attribute HMG_26 numeric
@attribute HMG_27 numeric
@attribute HMG_28 numeric
@attribute HMG_29 numeric
@attribute HMG_30 numeric
@attribute HMG_31 numeric
@attribute HMG_32 numeric
@attribute HMG_33 numeric
@attribute HMG_34 numeric
@attribute HMG_35 numeric
@attribute HMG_36 numeric
@attribute HMG_37 numeric
@attribute HMG_38 numeric
@attribute HMG_39 numeric
@attribute HMG_40 numeric
@attribute HMG_41 numeric
@attribute HMG_42 numeric
@attribute HMG_43 numeric
@attribute HMG_44 numeric
@attribute HMG_45 numeric
@attribute HMG_46 numeric
@attribute HMG_47 numeric
@attribute HMG_48 numeric
@attribute AVG_49 numeric
@attribute AVG_50 numeric
@attribute AVG_51 numeric
@attribute AVG_52 numeric
@attribute AVG_53 numeric
@attribute AVG_54 numeric
@attribute AVG_55 numeric
@attribute AVG_56 numeric
@attribute AVG_57 numeric
@attribute AVG_58 numeric
@attribute AVG_59 numeric
@attribute AVG_60 numeric
@attribute AVG_61 numeric
@attribute AVG_62 numeric
@attribute AVG_63 numeric
@attribute AVG_64 numeric
@attribute AVG_65 numeric
@attribute AVG_66 numeric
@attribute AVG_67 numeric
@attribute AVG_68 numeric
@attribute AVG_69 numeric
@attribute AVG_70 numeric
@attribute AVG_71 numeric
@attribute AVG_72 numeric
@attribute STD_73 numeric
@attribute STD_74 numeric
@attribute STD_75 numeric
@attribute STD_76 numeric
@attribute STD_77 numeric
@attribute STD_78 numeric
@attribute STD_79 numeric
@attribute STD_80 numeric
@attribute STD_81 numeric
@attribute STD_82 numeric
@attribute STD_83 numeric
@attribute STD_84 numeric
@attribute STD_85 numeric
@attribute STD_86 numeric
@attribute STD_87 numeric
@attribute STD_88 numeric
@attribute STD_89 numeric
@attribute STD_90 numeric
@attribute STD_91 numeric
@attribute STD_92 numeric
@attribute STD_93 numeric
@attribute STD_94 numeric
@attribute STD_95 numeric
@attribute STD_96 numeric
@attribute class {spam,nonspam}

@data
188,11,5.25,0.026596,0.02446,2.039931,0.085106,0.138298,0.25,0.281915,0.16,0.13,0.094,0.053,0.021277,0.042553,0.132979,0.234043,0.04,0.04,0.05,0.044,5.218293,5.193925,188,11,5.25,0.026596,0.02446,2.039931,0.085106,0.138298,0.25,0.281915,0.16,0.13,0.094,0.053,0.021277,0.042553,0.132979,0.234043,0.04,0.04,0.05,0.044,5.218293,5.193925,124.125,9.25,5.165087,0.104609,0.019494,1.824002,0.098639,0.16999,0.269351,0.324591,0.115,0.096875,0.0645,0.03925,0.019324,0.043224,0.136575,0.227771,0.02875,0.028125,0.0345,0.028,4.537986,4.478934,4161.859375,6.4375,0.090653,0.013542,0.000037,0.050671,0.000683,0.001957,0.001808,0.001765,0.00385,0.002206,0.001012,0.000409,0.000116,0.000395,0.000617,0.001174,0.000461,0.000581,0.000381,0.000225,0.727255,0.772214,nonspam
81,5,3.938272,0.012346,0.016914,1.895735,0.074074,0.148148,0.246914,0.283951,0.06,0.06,0.04,0.023,0.061728,0.111111,0.111111,0.185185,0.05,0.045,0.018,0.015,4.369448,4.369448,147,5,4.986395,0.258503,0.024656,2.334218,0.054422,0.122449,0.244898,0.29932,0.08,0.09,0.072,0.044,0.061224,0.095238,0.108844,0.176871,0.09,0.07,0.032,0.026,4.834402,4.47832,204,5,4.457915,0.139539,0.028247,2.046668,0.058805,0.111768,0.20892,0.269662,0.116,0.108,0.082,0.0549,0.039143,0.076156,0.097616,0.153037,0.087,0.0825,0.0468,0.0345,4.905035,4.808434,53429.2,0,0.283863,0.018812,0.000417,0.061137,0.000289,0.000578,0.002014,0.002269,0.015324,0.012686,0.007922,0.003901,0.000258,0.000493,0.000806,0.00143,0.014381,0.011631,0.004239,0.001886,0.567312,0.532111,nonspam
581,15,5.111876,0.022375,0.110372,3.009322,0.098107,0.122203,0.218589,0.275387,0.57,0.355,0.254,0.16,0.063683,0.130809,0.180723,0.218589,0.37,0.38,0.21,0.127,6.149438,5.527998,581,15,5.111876,0.022375,0.110372,3.009322,0.098107,0.122203,0.218589,0.275387,0.57,0.355,0.254,0.16,0.063683,0.130809,0.180723,0.218589,0.37,0.38,0.21,0.127,6.149438,5.527998,581,15,5.111876,0.022375,0.110372,3.009322,0.098107,0.122203,0.218589,0.275387,0.57,0.355,0.254,0.16,0.063683,0.130809,0.180723,0.218589,0.37,0.38,0.21,0.127,6.149438,5.527998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonspam
251,7,4.840637,0.143426,0.025539,2.091298,0.087649,0.123506,0.203187,0.270916,0.22,0.155,0.102,0.068,0.007968,0.01992,0.063745,0.135458,0.02,0.025,0.032,0.034,5.495183,5.417684,251,7,4.840637,0.143426,0.025539,2.091298,0.087649,0.123506,0.203187,0.270916,0.22,0.155,0.102,0.068,0.007968,0.01992,0.063745,0.135458,0.02,0.025,0.032,0.034,5.495183,5.417684,603.636364,6.636364,4.970873,0.105135,0.065342,2.096229,0.059579,0.085997,0.144235,0.217262,0.228182,0.172727,0.133273,0.106909,0.016071,0.042237,0.069739,0.127311,0.084545,0.097727,0.071273,0.062545,5.814076,5.751476,265464.595041,1.322314,0.073417,0.017876,0.001111,0.110116,0.00163,0.003543,0.006458,0.005996,0.019015,0.011315,0.007372,0.005769,0.000165,0.001136,0.001803,0.00321,0.004807,0.004361,0.002589,0.001733,1.721736,1.640338,nonspam
251,11,4.960159,0.310757,0.037457,2.104079,0.071713,0.139442,0.23506,0.282869,0.18,0.175,0.118,0.071,0.051793,0.059761,0.123506,0.163347,0.13,0.075,0.062,0.041,5.500751,5.442626,251,11,4.960159,0.310757,0.037457,2.104079,0.071713,0.139442,0.23506,0.282869,0.18,0.175,0.118,0.071,0.051793,0.059761,0.123506,0.163347,0.13,0.075,0.062,0.041,5.500751,5.442626,170.75,9.3,5.051779,0.257775,0.03051,2.049771,0.11187,0.173647,0.284439,0.342666,0.177,0.1375,0.0898,0.0544,0.027799,0.051941,0.121975,0.178222,0.047,0.043,0.0397,0.0292,5.028109,4.967737,4661.2875,6.61,0.04758,0.008609,0.000068,0.011229,0.001182,0.001715,0.003554,0.00442,0.002361,0.001041,0.000344,0.000147,0.000247,0.000249,0.000519,0.000743,0.001341,0.000361,0.000152,0.000076,0.158992,0.155069,nonspam
719,10,5.582754,0.109875,0.061134,2.593425,0.123783,0.211405,0.310153,0.371349,0.89,0.76,0.446,0.267,0.045897,0.066759,0.094576,0.16968,0.33,0.24,0.136,0.122,6.499415,6.213281,707,10,5.640736,0.127298,0.060479,2.58963,0.120226,0.19802,0.295615,0.350778,0.85,0.7,0.418,0.248,0.043847,0.055163,0.08628,0.154173,0.31,0.195,0.122,0.109,6.448785,6.083122,780.740525,9.906706,5.48986,0.188164,0.062802,2.612492,0.114014,0.184988,0.291742,0.355953,0.802478,0.656895,0.418397,0.259178,0.041582,0.055164,0.100599,0.168348,0.304286,0.202653,0.150601,0.128385,6.395246,6.005221,168598.880194,0.632696,0.117429,0.010996,0.000259,0.053091,0.001692,0.002506,0.003443,0.003535,0.089374,0.05173,0.021765,0.009796,0.000149,0.000254,0.000816,0.000878,0.020053,0.009499,0.006386,0.004301,0.398571,0.385099,nonspam
739,4,4.698241,0.069012,0.096011,2.332964,0.063599,0.094723,0.182679,0.261164,0.47,0.35,0.27,0.193,0.041949,0.056834,0.109608,0.156969,0.31,0.21,0.162,0.116,6.556024,6.365787,739,4,4.698241,0.069012,0.096011,2.332964,0.063599,0.094723,0.182679,0.261164,0.47,0.35,0.27,0.193,0.041949,0.056834,0.109608,0.156969,0.31,0.21,0.162,0.116,6.556024,6.365787,443.5,7,4.656553,0.041263,0.083463,2.130519,0.065584,0.087902,0.158907,0.242068,0.285,0.205,0.155,0.113,0.05138,0.062201,0.139263,0.176457,0.2,0.13,0.106,0.0725,5.755573,5.616374,87320.25,9,0.001738,0.00077,0.000157,0.040984,0.000004,0.000047,0.000565,0.000365,0.034225,0.021025,0.013225,0.0064,0.000089,0.000029,0.000879,0.00038,0.0121,0.0064,0.003136,0.001892,0.640723,0.56162,nonspam
88,0,4.454545,0.045455,0.108911,1.983471,0.113636,0.125,0.193182,0.204545,0.1,0.055,0.034,0.018,0.034091,0.056818,0.102273,0.159091,0.03,0.025,0.018,0.014,4.438228,4.394493,88,0,4.454545,0.045455,0.108911,1.983471,0.113636,0.125,0.193182,0.204545,0.1,0.055,0.034,0.018,0.034091,0.056818,0.102273,0.159091,0.03,0.025,0.018,0.014,4.438228,4.394493,88,0,4.454545,0.045455,0.108911,1.983471,0.113636,0.125,0.193182,0.204545,0.1,0.055,0.034,0.018,0.034091,0.056818,0.102273,0.159091,0.03,0.025,0.018,0.014,4.438228,4.394493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonspam
8,4,5.5,0.75,0.00885,1.405405,0,0.25,0.25,0.25,0,0.01,0.004,0.002,0,0,0.25,0.25,0,0,0.004,0.002,1.329661,0.963457,111,2,4.558559,0.081081,0.028462,2.142361,0.126126,0.234234,0.261261,0.261261,0.14,0.13,0.058,0.029,0.054054,0.081081,0.18018,0.225225,0.06,0.045,0.04,0.025,4.60232,4.345555,123.195652,2,4.516382,0.018165,0.031322,1.361481,0.104552,0.180004,0.2082,0.266204,0.097174,0.071467,0.039674,0.026467,0.009531,0.014536,0.076712,0.096127,0.035652,0.025761,0.023196,0.016467,3.338084,3.275461,162415.22259,0.065217,0.053233,0.006949,0.000263,0.211047,0.00482,0.004449,0.004217,0.003578,0.053881,0.028237,0.010056,0.004984,0.000336,0.000688,0.00122,0.0023,0.017272,0.008013,0.005337,0.002809,1.405684,1.147878,nonspam
20,2,4.45,0.05,0.064516,1.123711,0.1,0.1,0.2,0.35,0.02,0.01,0.008,0.007,0,0.05,0.05,0.15,0,0.005,0.002,0.003,2.890372,2.890372,20,2,4.45,0.05,0.064516,1.123711,0.1,0.1,0.2,0.35,0.02,0.01,0.008,0.007,0,0.05,0.05,0.15,0,0.005,0.002,0.003,2.890372,2.890372,20,2,4.45,0.05,0.064516,1.123711,0.1,0.1,0.2,0.35,0.02,0.01,0.008,0.007,0,0.05,0.05,0.15,0,0.005,0.002,0.003,2.890372,2.890372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonspam
655,11,5.114504,0.166412,0.021796,2.399641,0.045802,0.073282,0.141985,0.216794,0.3,0.24,0.186,0.142,0.006107,0.029008,0.050382,0.161832,0.04,0.095,0.066,0.106,6.416286,6.212021,655,11,5.114504,0.166412,0.021796,2.399641,0.045802,0.073282,0.141985,0.216794,0.3,0.24,0.186,0.142,0.006107,0.029008,0.050382,0.161832,0.04,0.095,0.066,0.106,6.416286,6.212021,628.172414,10.103448,5.126088,0.204379,0.022707,2.469952,0.093638,0.137447,0.226683,0.31139,0.51092,0.380172,0.254598,0.178701,0.030791,0.069009,0.116751,0.222012,0.168621,0.188563,0.130184,0.124207,6.186304,5.941208,187739.705906,16.50654,0.067987,0.01264,0.000116,0.058748,0.000789,0.001395,0.002612,0.003127,0.076404,0.04299,0.017902,0.009322,0.000282,0.000773,0.001423,0.002505,0.018044,0.013737,0.005482,0.003789,0.304739,0.322603,nonspam
376,4,5.364362,0.00266,0.022711,2.283397,0.151596,0.202128,0.31117,0.385638,0.57,0.38,0.234,0.145,0.079787,0.146277,0.223404,0.268617,0.3,0.275,0.168,0.101,5.893203,5.783476,190,5,5.021053,0.010526,0.016144,2.010545,0.073684,0.157895,0.247368,0.310526,0.14,0.15,0.094,0.059,0.031579,0.068421,0.173684,0.252632,0.06,0.065,0.066,0.048,5.154353,4.925629,414.2,7.4125,5.058992,0.07492,0.04817,2.096173,0.088967,0.13024,0.199674,0.284634,0.310625,0.2515,0.162225,0.116825,0.026425,0.057228,0.150668,0.243924,0.147,0.143125,0.10905,0.082513,4.919851,4.655299,515522.96,9.092344,0.46789,0.017655,0.001125,0.201526,0.010938,0.014272,0.018451,0.030234,0.243548,0.192006,0.084807,0.040134,0.000814,0.002249,0.006729,0.009752,0.131769,0.092652,0.044424,0.01988,2.571043,2.440021,nonspam
10,2,4.6,0,0.081301,1.217391,0,0,0.2,0.5,0,0,0.004,0.005,0,0,0,0,0,0,0,0,2.079442,2.079442,2,1,5.5,0,0.008889,0.619048,0,0.5,0.5,0.5,0,0.005,0.002,0.001,0,0,0.5,0.5,0,0,0.002,0.001,1,1,184.578947,5.973684,5.067389,0.173475,0.047479,1.91284,0.131746,0.196945,0.301211,0.39129,0.232368,0.165263,0.102,0.062868,0.026188,0.049525,0.127114,0.167236,0.057895,0.051974,0.048263,0.034895,4.246897,3.998611,34590.612188,15.394044,0.42573,0.242077,0.000498,0.451382,0.00546,0.010591,0.011086,0.010212,0.044302,0.019105,0.011063,0.00325,0.000738,0.001816,0.008467,0.01053,0.006353,0.002416,0.001947,0.000978,2.520145,2.014536,nonspam
317,2,5.274448,0.772871,0.017275,3.192616,0.107256,0.154574,0.287066,0.62776,0.34,0.245,0.182,0.199,0.050473,0.069401,0.116719,0.189274,0.16,0.11,0.074,0.06,5.012791,3.994957,317,2,5.274448,0.772871,0.017275,3.192616,0.107256,0.154574,0.287066,0.62776,0.34,0.245,0.182,0.199,0.050473,0.069401,0.116719,0.189274,0.16,0.11,0.074,0.06,5.012791,3.994957,1299.905433,4.211268,4.51882,0.317182,0.05335,2.269755,0.106111,0.155912,0.223538,0.303895,0.75493,0.587213,0.39538,0.303932,0.063217,0.08611,0.138393,0.187671,0.80159,0.522535,0.320744,0.224851,6.634069,6.216399,3248708.604739,1.945306,0.095839,0.022268,0.000635,0.093194,0.007884,0.014463,0.016698,0.016185,0.318895,0.225907,0.151157,0.115049,0.000127,0.000265,0.000866,0.001023,1.017132,0.450469,0.157976,0.082629,0.991985,0.916855,nonspam
851,0,5.374853,0.015276,0.071321,2.383568,0.057579,0.079906,0.13866,0.213866,0.49,0.34,0.236,0.182,0.022327,0.051704,0.088132,0.137485,0.19,0.22,0.15,0.117,6.704254,6.534159,851,0,5.374853,0.015276,0.071321,2.383568,0.057579,0.079906,0.13866,0.213866,0.49,0.34,0.236,0.182,0.022327,0.051704,0.088132,0.137485,0.19,0.22,0.15,0.117,6.704254,6.534159,741,0,5.509138,0.007638,0.106289,2.3713,0.070786,0.089874,0.150947,0.236093,0.51,0.3275,0.221,0.1725,0.029388,0.06151,0.109834,0.157491,0.21,0.2225,0.158,0.1145,6.542235,6.337062,12100,0,0.018032,0.000058,0.001223,0.00015,0.000174,0.000099,0.000151,0.000494,0.0004,0.000156,0.000225,0.00009,0.00005,0.000096,0.000471,0.0004,0.0004,0.000006,0.000064,0.000006,0.02625,0.038847,nonspam
436,1,4.610092,0.020642,0.009362,2.180036,0.231651,0.275229,0.350917,0.412844,1.01,0.6,0.306,0.18,0.080275,0.183486,0.220183,0.268349,0.35,0.4,0.192,0.117,6.035337,5.919822,436,1,4.610092,0.020642,0.009362,2.180036,0.231651,0.275229,0.350917,0.412844,1.01,0.6,0.306,0.18,0.080275,0.183486,0.220183,0.268349,0.35,0.4,0.192,0.117,6.035337,5.919822,473.82,1,4.882916,0.019129,0.010286,2.315896,0.245276,0.307966,0.387994,0.44246,1.1666,0.7307,0.3682,0.21,0.090325,0.224374,0.266119,0.318673,0.4298,0.5326,0.253,0.15144,6.099504,5.924575,1675.1876,0,0.014239,0.000002,0.000003,0.00597,0.000886,0.000779,0.000756,0.000587,0.045518,0.010846,0.002236,0.000662,0.000155,0.000817,0.000853,0.000899,0.007326,0.008741,0.001834,0.000566,0.006954,0.009124,spam
