@RELATION .\uk-2007-05.obvious_features.csv

@ATTRIBUTE hostid NUMERIC
@ATTRIBUTE number_of_pages NUMERIC
@ATTRIBUTE length_of_hostname NUMERIC
@ATTRIBUTE class {spam,nonspam}
@ATTRIBUTE assessmentscore NUMERIC


@DATA
2299,66,28,spam,1.000000
2310,1,30,spam,1.000000
2312,1,28,nonspam,0.000000
2368,3,22,nonspam,0.000000
2378,657,10,nonspam,0.000000
2400,1,27,nonspam,0.000000
2455,12,21,nonspam,0.000000
2470,1,32,nonspam,0.000000
2589,7,16,nonspam,0.000000
2600,57,17,nonspam,0.000000
2625,20,28,nonspam,0.000000
2704,1902,22,nonspam,0.000000
2705,326,17,nonspam,0.000000
2717,51,26,nonspam,0.000000
2742,8,15,nonspam,0.000000
2762,35,22,nonspam,0.000000
2812,4013,26,spam,1.000000
2822,15880,13,nonspam,0.000000
2828,1,20,nonspam,0.000000
2897,242,21,nonspam,0.250000
2931,1,13,nonspam,0.250000
2978,3,19,nonspam,0.000000
3003,60,19,nonspam,0.000000
3014,163,22,nonspam,0.000000
3046,14,17,nonspam,0.000000
3064,45,19,nonspam,0.000000
3068,4,22,nonspam,0.000000
3070,242,21,nonspam,0.000000
3090,11,25,nonspam,0.000000
3098,92,14,nonspam,0.000000
3170,1,28,nonspam,0.000000
3171,467,20,nonspam,0.000000
3191,228,17,nonspam,0.000000
3207,5,30,nonspam,0.000000
3233,1,18,nonspam,0.000000
3303,4,23,nonspam,0.000000
3313,1,17,nonspam,0.000000
3338,1,15,nonspam,0.000000
3417,1966,19,nonspam,0.000000
3432,228,28,nonspam,0.000000
3454,190,20,nonspam,0.000000
3583,8001,19,nonspam,0.250000
3644,41,15,spam,0.583333
3649,2,16,nonspam,0.000000
3730,245,14,spam,1.000000
3735,280,19,spam,1.000000
3743,523,16,nonspam,0.000000
3762,32,17,nonspam,0.000000
3779,7890,14,nonspam,0.312500
3814,4,17,nonspam,0.000000
3850,20959,20,nonspam,0.000000
3853,1760,20,nonspam,0.000000
3940,1,27,nonspam,0.000000
3955,4352,32,nonspam,0.333333
4000,874,22,nonspam,0.250000
4013,31467,17,nonspam,0.000000
4046,6287,11,nonspam,0.000000
4063,10,16,nonspam,0.000000
4076,1991,27,nonspam,0.000000
4153,6,18,nonspam,0.000000
4265,61,31,nonspam,0.000000
4284,134,13,nonspam,0.000000
4294,1777,10,nonspam,0.000000
4330,18,19,nonspam,0.000000
4425,200,32,nonspam,0.000000
4440,1,17,spam,1.000000
4445,919,38,nonspam,0.250000
4454,214,15,nonspam,0.000000
4491,3,25,nonspam,0.000000
4520,3,16,nonspam,0.000000
4536,48,26,nonspam,0.000000
4620,62,16,nonspam,0.000000
4625,67,27,nonspam,0.000000
4652,1,21,nonspam,0.000000
4666,1681,22,nonspam,0.000000
4683,1,15,nonspam,0.000000
4724,1268,17,nonspam,0.000000
4738,1,22,nonspam,0.000000
4748,1,17,nonspam,0.000000
4755,55,10,nonspam,0.000000
4856,54,16,nonspam,0.000000
4863,171,20,nonspam,0.000000
4926,5806,13,nonspam,0.000000
4936,272,20,spam,1.000000
4986,33,20,nonspam,0.000000
4988,522,23,nonspam,0.000000
5008,3,23,nonspam,0.000000
5013,404,34,nonspam,0.000000
5017,192,32,nonspam,0.000000
5018,478,25,nonspam,0.000000
5108,50,20,nonspam,0.000000
5152,15,20,nonspam,0.000000
5205,6,14,nonspam,0.000000
5225,38,23,nonspam,0.000000
5282,52,17,nonspam,0.000000
5287,3816,22,nonspam,0.000000
5342,18,15,nonspam,0.000000
5343,17,22,nonspam,0.000000
5382,148,19,nonspam,0.000000
5413,4742,14,nonspam,0.000000
5484,1,22,nonspam,0.000000
5485,19,27,nonspam,0.000000
5492,180,28,spam,0.750000
5527,1378,17,nonspam,0.000000
5536,448,21,nonspam,0.000000
5549,1,17,nonspam,0.000000
5575,1,31,spam,1.000000
5595,3,27,nonspam,0.000000
5597,24517,19,nonspam,0.000000
5607,1236,15,nonspam,0.000000
5627,110,17,nonspam,0.000000
5639,116,19,nonspam,0.000000
5649,61,18,nonspam,0.000000
5665,4,20,nonspam,0.000000
5688,1,29,nonspam,0.000000
5722,1,27,nonspam,0.000000
5789,197,25,nonspam,0.000000
5794,16,19,nonspam,0.000000
5813,1,18,nonspam,0.000000
5820,2819,20,nonspam,0.000000
5860,39,19,nonspam,0.000000
5908,17,19,nonspam,0.000000
6101,3,25,nonspam,0.000000
6116,8,15,nonspam,0.000000
6189,1,26,nonspam,0.000000
6191,56,22,nonspam,0.000000
6219,9161,25,nonspam,0.000000
6228,1,16,nonspam,0.000000
6279,270,24,nonspam,0.000000
6292,1,15,nonspam,0.000000
6335,2,16,nonspam,0.000000
6398,6,23,nonspam,0.000000
6421,16,18,nonspam,0.000000
6437,16,28,nonspam,0.000000
6510,954,16,nonspam,0.000000
6588,3,31,nonspam,0.000000
6618,9098,12,nonspam,0.000000
6660,1,21,nonspam,0.000000
6666,182,21,nonspam,0.000000
6777,30,19,nonspam,0.000000
6788,21,28,nonspam,0.000000
6825,1,26,nonspam,0.200000
6954,131,12,nonspam,0.000000
6992,18,14,nonspam,0.000000
7015,9,20,nonspam,0.000000
7045,173,21,nonspam,0.000000
7048,16,23,nonspam,0.000000
7053,22,12,nonspam,0.000000
7115,11,24,nonspam,0.000000
7159,2,25,nonspam,0.000000
7165,1,17,nonspam,0.000000
7262,7,23,nonspam,0.000000
7307,23,22,nonspam,0.000000
7355,4873,18,nonspam,0.000000
7390,130,16,nonspam,0.000000
7392,6,21,nonspam,0.000000
7393,49987,17,nonspam,0.000000
7457,308,22,nonspam,0.000000
7554,18,25,nonspam,0.000000
7578,91,9,nonspam,0.000000
7584,12,18,nonspam,0.000000
7596,1002,25,nonspam,0.000000
7664,384,17,nonspam,0.000000
7675,119,17,nonspam,0.000000
7747,23,25,nonspam,0.000000
7830,528,16,nonspam,0.000000
7892,1,15,nonspam,0.000000
7906,29,22,nonspam,0.000000
7914,102,19,nonspam,0.000000
7917,332,15,nonspam,0.000000
7947,24,12,nonspam,0.000000
7971,13,18,nonspam,0.000000
7993,26239,27,nonspam,0.000000
8079,1215,22,nonspam,0.000000
8098,101,22,nonspam,0.000000
8121,1,31,nonspam,0.000000
8138,33,43,nonspam,0.000000
8141,20,21,nonspam,0.000000
8184,1,15,spam,0.750000
8185,6,17,nonspam,0.250000
8270,49973,22,spam,1.000000
8275,1,28,nonspam,0.000000
8285,33502,15,nonspam,0.000000
8292,29,25,nonspam,0.000000
8320,1,21,nonspam,0.000000
8343,1,22,nonspam,0.000000
8346,8,18,nonspam,0.000000
8369,97,25,nonspam,0.000000
8379,107,34,nonspam,0.000000
8403,7,22,nonspam,0.000000
8407,77,25,nonspam,0.000000
8423,49,21,nonspam,0.333333
8436,1,29,nonspam,0.000000
8449,18,25,nonspam,0.000000
8481,6,26,nonspam,0.000000
8525,1,30,nonspam,0.166667
8542,7,28,nonspam,0.000000
8589,550,17,spam,1.000000
8599,40,20,nonspam,0.250000
8646,3,20,nonspam,0.000000
8722,7,26,nonspam,0.000000
8729,39554,13,nonspam,0.000000
8734,50,20,nonspam,0.000000
8799,188,16,nonspam,0.000000
8802,6311,21,nonspam,0.000000
8814,1,15,nonspam,0.000000
8849,21,20,nonspam,0.000000
8888,42,34,nonspam,0.000000
8919,15939,19,nonspam,0.000000
8925,100,17,nonspam,0.000000
9010,16,20,nonspam,0.000000
9043,6,18,nonspam,0.000000
9056,25,20,nonspam,0.000000
9082,15,36,nonspam,0.250000
9103,39,16,nonspam,0.000000
9123,21,24,nonspam,0.250000
9157,201,14,nonspam,0.000000
9173,6,38,nonspam,0.000000
9190,3,35,nonspam,0.000000
9205,137,17,nonspam,0.000000
9214,42,23,nonspam,0.000000
9228,1,23,nonspam,0.000000
9230,1,20,nonspam,0.000000
9235,9,21,nonspam,0.000000
9257,9,15,nonspam,0.000000
9285,7,14,nonspam,0.000000
9305,5,22,nonspam,0.000000
9320,1,23,nonspam,0.000000
9329,1,16,spam,1.000000
9332,34,15,spam,1.000000
9370,2,21,nonspam,0.000000
9420,40,19,nonspam,0.000000
9439,47,23,nonspam,0.000000
9451,12,28,nonspam,0.000000
9467,1,25,nonspam,0.000000
9473,603,18,nonspam,0.000000
9485,902,23,nonspam,0.000000
9486,27,21,nonspam,0.000000
9511,38,20,nonspam,0.000000
9567,31,27,nonspam,0.000000
9593,1,22,nonspam,0.000000
9615,60,23,nonspam,0.000000
9791,11,24,nonspam,0.000000
9795,37,24,spam,1.000000
9809,1,28,nonspam,0.000000
9882,5,15,nonspam,0.000000
9958,1,18,nonspam,0.000000
9976,2,16,nonspam,0.000000
9987,89,24,nonspam,0.000000
10030,8,21,nonspam,0.000000
10056,158,18,nonspam,0.333333
10098,12,24,nonspam,0.000000
10119,22,30,nonspam,0.250000
10186,37,26,nonspam,0.250000
10199,250,18,nonspam,0.000000
10248,146,21,nonspam,0.000000
10258,3020,18,nonspam,0.000000
10278,5081,14,nonspam,0.000000
10286,30,18,nonspam,0.333333
10304,4,14,spam,1.000000
10310,681,18,nonspam,0.000000
10357,6,22,nonspam,0.000000
10360,9698,32,nonspam,0.000000
10392,82,14,nonspam,0.000000
10480,13,21,nonspam,0.200000
10485,31,22,nonspam,0.000000
10493,6,19,nonspam,0.000000
10497,17,25,nonspam,0.000000
10504,12,14,nonspam,0.000000
10607,1,17,nonspam,0.000000
10619,15,20,nonspam,0.000000
10622,1,32,nonspam,0.250000
10695,1,14,nonspam,0.000000
10731,38,18,nonspam,0.000000
10790,102,18,nonspam,0.000000
10820,1912,25,spam,1.000000
10821,10337,16,nonspam,0.000000
10833,10,23,nonspam,0.000000
10856,324,27,nonspam,0.000000
10878,9,26,nonspam,0.000000
10947,24,16,nonspam,0.000000
10949,20,16,nonspam,0.250000
10965,30,25,nonspam,0.000000
10973,10,29,nonspam,0.000000
10995,33671,23,nonspam,0.000000
11024,22,28,nonspam,0.000000
11049,361,23,nonspam,0.000000
11054,1,23,nonspam,0.250000
11109,43,24,nonspam,0.000000
11111,167,22,nonspam,0.000000
11213,1195,23,nonspam,0.000000
11270,521,13,spam,1.000000
11278,177,21,nonspam,0.000000
11281,83,17,nonspam,0.000000
11302,3,21,nonspam,0.000000
11331,10,18,nonspam,0.000000
11333,67,18,nonspam,0.000000
11363,10,32,nonspam,0.000000
11391,1,22,nonspam,0.000000
11416,2,36,nonspam,0.000000
11455,31,16,nonspam,0.000000
11470,13,24,nonspam,0.000000
11511,1,24,spam,1.000000
11513,1,22,nonspam,0.250000
11534,10,26,nonspam,0.000000
11543,10,28,nonspam,0.000000
11628,339,20,nonspam,0.000000
11632,3,20,nonspam,0.000000
11637,4,17,nonspam,0.000000
11678,59,13,nonspam,0.000000
11693,10,23,nonspam,0.000000
11714,14038,17,nonspam,0.000000
11722,179,16,spam,1.000000
11852,14,26,nonspam,0.000000
11863,1,17,spam,1.000000
11875,47,25,nonspam,0.000000
11897,59,16,nonspam,0.000000
11914,1,22,nonspam,0.000000
11930,7,31,nonspam,0.000000
11951,33,32,nonspam,0.250000
11954,130,20,nonspam,0.000000
11956,2,20,nonspam,0.000000
11976,1,21,nonspam,0.000000
11987,49423,18,nonspam,0.000000
12047,3,28,nonspam,0.000000
12106,2,22,nonspam,0.000000
12159,210,24,nonspam,0.000000
12210,102,22,nonspam,0.000000
12233,5195,19,nonspam,0.000000
12321,41,22,nonspam,0.000000
12345,149,26,nonspam,0.000000
12365,1315,28,nonspam,0.000000
12372,9,30,nonspam,0.000000
12428,1,34,nonspam,0.000000
12435,5,27,nonspam,0.000000
12472,2285,20,nonspam,0.000000
12495,31,20,nonspam,0.000000
12510,18,17,nonspam,0.000000
12511,10,27,nonspam,0.000000
12522,7,22,spam,0.562500
12532,142,21,nonspam,0.000000
12573,146,31,nonspam,0.000000
12592,222,15,nonspam,0.000000
12609,19,19,nonspam,0.000000
12615,465,20,nonspam,0.000000
12656,3043,23,nonspam,0.000000
12657,37,21,nonspam,0.000000
12704,72,20,spam,0.750000
12710,67,25,nonspam,0.000000
12783,8,34,nonspam,0.000000
12828,11,16,nonspam,0.000000
12856,53,37,nonspam,0.000000
12881,61,27,nonspam,0.000000
12894,44,24,nonspam,0.166667
12937,5,23,nonspam,0.000000
12972,8,15,spam,0.750000
12994,1,16,nonspam,0.000000
13008,66,23,nonspam,0.000000
13082,14,21,nonspam,0.000000
13212,118,17,nonspam,0.000000
13230,100,19,nonspam,0.000000
13263,58,24,nonspam,0.000000
13273,256,13,nonspam,0.000000
13308,4722,30,nonspam,0.000000
13367,22,29,nonspam,0.000000
13370,61,31,nonspam,0.000000
13381,16,18,nonspam,0.000000
13407,11,16,nonspam,0.000000
13447,12,19,nonspam,0.000000
13452,7,17,nonspam,0.000000
13478,35,32,nonspam,0.000000
13550,1,23,nonspam,0.000000
13566,12,25,nonspam,0.000000
13573,677,22,nonspam,0.000000
13595,30,19,nonspam,0.000000
13612,36,24,nonspam,0.000000
13617,22,18,nonspam,0.000000
13701,8,24,nonspam,0.000000
13744,6,17,nonspam,0.000000
13777,36,21,nonspam,0.000000
13802,5,30,nonspam,0.000000
13899,32,23,nonspam,0.000000
13900,5,22,nonspam,0.000000
13905,18,29,nonspam,0.000000
13961,20,22,nonspam,0.000000
14007,500,19,nonspam,0.000000
14011,31,19,nonspam,0.000000
14093,547,24,nonspam,0.166667
14095,7,21,nonspam,0.000000
14113,7008,23,nonspam,0.000000
14179,55,26,nonspam,0.000000
14212,4,25,nonspam,0.250000
14250,562,22,nonspam,0.250000
14254,5,25,nonspam,0.000000
14315,36,25,nonspam,0.000000
14349,1,28,nonspam,0.000000
14373,31,31,nonspam,0.000000
14385,8,21,nonspam,0.000000
14406,19727,16,nonspam,0.000000
14446,69,29,nonspam,0.000000
14481,22,22,nonspam,0.000000
14570,48,28,nonspam,0.000000
14584,45,32,nonspam,0.000000
14618,36,17,nonspam,0.000000
14645,37,16,nonspam,0.000000
14664,5,15,nonspam,0.000000
14683,17,26,spam,1.000000
14710,408,15,nonspam,0.000000
14771,62,15,nonspam,0.250000
14781,90,17,nonspam,0.000000
14821,4325,24,nonspam,0.000000
14839,14,24,nonspam,0.250000
14856,2,25,nonspam,0.000000
14909,8,25,nonspam,0.000000
14910,36987,25,nonspam,0.000000
14914,1,32,nonspam,0.000000
14917,16,19,nonspam,0.000000
14922,5,22,spam,1.000000
14929,45,22,nonspam,0.000000
14949,21,16,nonspam,0.000000
15029,1,19,nonspam,0.000000
15113,87,25,nonspam,0.000000
15117,53,19,spam,1.000000
15121,48,24,spam,0.555556
15127,9,20,nonspam,0.000000
15151,3,28,nonspam,0.000000
15152,10,17,nonspam,0.000000
15164,1,15,nonspam,0.000000
15197,27,34,nonspam,0.000000
15249,894,30,nonspam,0.000000
15280,1,22,nonspam,0.000000
15287,119,27,nonspam,0.000000
15289,10,25,nonspam,0.000000
15420,7,15,nonspam,0.000000
15431,47,22,nonspam,0.000000
15471,19,17,nonspam,0.000000
15482,424,23,nonspam,0.000000
15498,35,15,nonspam,0.000000
15505,1,22,nonspam,0.000000
15568,1118,17,nonspam,0.000000
15569,2,20,nonspam,0.000000
15629,1,18,nonspam,0.000000
15681,2,25,spam,1.000000
15694,170,17,nonspam,0.000000
15700,19,24,nonspam,0.333333
15714,16,30,nonspam,0.000000
15715,1143,16,nonspam,0.000000
15732,12,28,nonspam,0.000000
15759,1083,18,nonspam,0.000000
15780,78,24,nonspam,0.250000
15831,1002,15,nonspam,0.000000
15844,8,23,nonspam,0.000000
15868,1721,23,nonspam,0.000000
15921,22,22,nonspam,0.000000
15922,33,15,nonspam,0.000000
15959,674,19,nonspam,0.000000
15969,31,26,nonspam,0.000000
15971,70,20,nonspam,0.062500
15973,118,22,nonspam,0.000000
15975,183,21,nonspam,0.000000
15996,6270,14,nonspam,0.000000
15997,1207,17,nonspam,0.000000
16004,6,22,spam,1.000000
16036,11,19,nonspam,0.000000
16077,1,21,nonspam,0.000000
16118,403,19,nonspam,0.000000
16141,383,22,nonspam,0.000000
16189,5998,26,nonspam,0.000000
16207,7,24,nonspam,0.000000
16233,8,22,nonspam,0.000000
16272,5,29,nonspam,0.000000
16277,179,22,spam,1.000000
16326,546,22,nonspam,0.000000
16329,23,22,nonspam,0.000000
16342,34,23,nonspam,0.000000
16365,53,17,nonspam,0.000000
16386,13,24,nonspam,0.000000
16389,1046,26,nonspam,0.000000
16450,4500,19,nonspam,0.250000
16491,22,16,nonspam,0.000000
16505,221,19,nonspam,0.000000
16514,9,24,nonspam,0.000000
16532,25,15,nonspam,0.000000
16542,1,21,nonspam,0.000000
16579,8,21,nonspam,0.000000
16603,3,27,nonspam,0.000000
16608,1,30,nonspam,0.000000
16660,54,16,nonspam,0.000000
16664,212,20,nonspam,0.000000
16665,1,22,nonspam,0.000000
16677,18,28,nonspam,0.000000
16688,162,26,nonspam,0.000000
16699,1,22,nonspam,0.000000
16713,1,22,nonspam,0.000000
16736,19,19,nonspam,0.000000
16758,36,26,nonspam,0.000000
16778,23,24,nonspam,0.000000
16814,60,21,nonspam,0.000000
16820,1,17,nonspam,0.000000
16826,1,15,nonspam,0.000000
16851,217,22,nonspam,0.000000
16897,1,19,nonspam,0.000000
16921,10,23,nonspam,0.000000
16957,9,23,nonspam,0.000000
17087,272,20,nonspam,0.000000
17113,10,32,nonspam,0.000000
17187,1,22,nonspam,0.000000
17192,92,21,nonspam,0.000000
17224,17,20,nonspam,0.000000
17235,8,23,nonspam,0.000000
17242,45,25,nonspam,0.000000
17246,272,20,nonspam,0.000000
17263,19,20,nonspam,0.000000
17282,17,18,nonspam,0.000000
17341,23,16,nonspam,0.000000
17351,77,20,nonspam,0.000000
17361,58,20,nonspam,0.000000
17373,30,25,nonspam,0.000000
17387,9,20,nonspam,0.000000
17518,10,15,nonspam,0.000000
17574,66,21,nonspam,0.000000
17578,1,22,spam,1.000000
17611,21,25,nonspam,0.000000
17643,9,16,nonspam,0.000000
17667,12,25,nonspam,0.000000
17669,1,14,nonspam,0.000000
17735,17,26,nonspam,0.000000
17785,36,17,nonspam,0.000000
17792,11833,21,nonspam,0.000000
17794,58,23,nonspam,0.000000
17804,103,13,nonspam,0.000000
17881,30,22,nonspam,0.000000
17893,42,13,nonspam,0.000000
17911,1,27,nonspam,0.000000
17917,3,20,nonspam,0.000000
17920,166,15,nonspam,0.000000
17948,254,19,nonspam,0.000000
17958,2,27,nonspam,0.000000
17987,71,18,nonspam,0.000000
18024,1,19,nonspam,0.000000
18082,3,34,spam,0.750000
18085,452,14,nonspam,0.000000
18113,13,20,nonspam,0.000000
18121,4,24,nonspam,0.000000
18137,141,24,nonspam,0.000000
18185,9,19,nonspam,0.000000
18236,105,35,nonspam,0.000000
18258,47,16,nonspam,0.000000
18280,283,37,nonspam,0.000000
18316,1,19,nonspam,0.000000
18331,11,21,nonspam,0.000000
18336,31,26,nonspam,0.000000
18342,81,27,nonspam,0.000000
18412,6,22,nonspam,0.000000
18453,38,33,nonspam,0.000000
18484,29,22,nonspam,0.000000
18508,8,21,nonspam,0.000000
18513,8,25,nonspam,0.000000
18516,155,16,nonspam,0.000000
18537,426,27,nonspam,0.000000
18543,28,17,nonspam,0.000000
18577,40,38,nonspam,0.000000
18619,8,26,nonspam,0.000000
18633,381,15,nonspam,0.000000
18682,577,24,nonspam,0.000000
18688,17,18,nonspam,0.000000
18689,1,19,nonspam,0.000000
18695,2,19,nonspam,0.000000
18718,16,20,nonspam,0.000000
18741,26,15,nonspam,0.000000
18816,45,25,nonspam,0.000000
18862,145,22,nonspam,0.000000
18896,100,24,nonspam,0.000000
18913,53,25,nonspam,0.000000
18925,201,22,nonspam,0.000000
18962,139,38,nonspam,0.000000
18977,11,25,nonspam,0.000000
18979,7,21,spam,1.000000
18980,21,21,nonspam,0.000000
18990,8,26,nonspam,0.000000
19011,8,29,nonspam,0.000000
19045,2400,20,nonspam,0.000000
19073,58,22,nonspam,0.000000
19151,156,22,nonspam,0.000000
19154,8,21,nonspam,0.000000
19165,8,30,nonspam,0.000000
19248,9,31,nonspam,0.000000
19263,1,29,nonspam,0.000000
19268,108,24,nonspam,0.000000
19269,1,21,nonspam,0.000000
19326,69,21,nonspam,0.000000
19346,754,25,nonspam,0.000000
19352,518,16,nonspam,0.000000
19429,36,17,spam,1.000000
19434,42,22,nonspam,0.000000
19471,4,21,nonspam,0.000000
19494,23,16,nonspam,0.000000
19501,12,16,nonspam,0.000000
19528,234,20,nonspam,0.000000
19577,14,16,nonspam,0.000000
19605,95,20,nonspam,0.000000
19614,14917,18,nonspam,0.000000
19670,7,14,nonspam,0.000000
19716,37,18,nonspam,0.000000
19768,333,29,nonspam,0.000000
19777,8,20,nonspam,0.000000
19794,2,20,nonspam,0.000000
19812,52,20,nonspam,0.000000
19824,28,28,nonspam,0.000000
19845,149,27,nonspam,0.000000
19853,525,16,nonspam,0.000000
19962,7,32,nonspam,0.000000
19991,55,24,nonspam,0.000000
20010,3,20,nonspam,0.000000
20012,10,25,nonspam,0.000000
20090,7,18,nonspam,0.000000
20106,3,28,nonspam,0.000000
20134,17,31,nonspam,0.000000
20189,9,26,nonspam,0.000000
20238,71,24,nonspam,0.000000
20402,1,21,nonspam,0.000000
20406,1,22,nonspam,0.000000
20449,1,26,nonspam,0.000000
20452,32,20,nonspam,0.000000
20484,1,22,nonspam,0.000000
20494,8,19,nonspam,0.000000
20507,27,20,nonspam,0.000000
20543,15,22,nonspam,0.000000
20548,50,16,nonspam,0.000000
20589,67,14,nonspam,0.000000
20647,9,17,nonspam,0.000000
20657,4,23,nonspam,0.000000
20703,9,29,nonspam,0.000000
20707,1,24,nonspam,0.000000
20833,30,25,nonspam,0.000000
20860,3912,18,nonspam,0.000000
20862,16,14,nonspam,0.000000
20876,1,27,nonspam,0.000000
20919,4,22,nonspam,0.250000
20922,10,22,nonspam,0.000000
20937,21,20,nonspam,0.000000
20940,90,25,nonspam,0.000000
20954,75,25,nonspam,0.000000
20958,13,26,nonspam,0.000000
20996,70,23,nonspam,0.000000
21083,48825,17,nonspam,0.000000
21086,5,25,nonspam,0.000000
21087,1,22,nonspam,0.000000
21160,1,19,nonspam,0.000000
21162,663,17,nonspam,0.000000
21207,51,24,nonspam,0.000000
21226,4,18,nonspam,0.000000
21260,28,15,nonspam,0.000000
21347,10,15,nonspam,0.000000
21388,1,21,nonspam,0.000000
21393,5555,15,nonspam,0.000000
21415,34,21,nonspam,0.000000
21476,4,26,nonspam,0.000000
21478,1,19,nonspam,0.000000
21483,7,18,nonspam,0.000000
21512,17,21,nonspam,0.000000
21514,1,21,spam,1.000000
21546,9,19,nonspam,0.000000
21550,453,17,nonspam,0.000000
21554,359,16,nonspam,0.000000
21616,128,19,nonspam,0.000000
21618,659,18,nonspam,0.000000
21625,494,19,nonspam,0.000000
21644,11,19,nonspam,0.000000
21660,1510,17,nonspam,0.000000
21671,1,30,nonspam,0.000000
21678,22,31,nonspam,0.000000
21684,9,23,nonspam,0.000000
21688,1,21,spam,1.000000
21691,284,30,nonspam,0.000000
21724,2,17,spam,0.750000
21728,10,28,nonspam,0.000000
21753,1599,16,nonspam,0.000000
21798,1262,17,nonspam,0.000000
21800,12,27,nonspam,0.000000
21849,8,22,nonspam,0.000000
21850,2,22,nonspam,0.000000
21894,891,18,nonspam,0.000000
21972,1,27,nonspam,0.000000
22043,11,23,nonspam,0.000000
22044,175,25,nonspam,0.000000
22055,122,35,nonspam,0.000000
22089,1,36,nonspam,0.000000
22101,1,23,nonspam,0.000000
22119,57,18,nonspam,0.000000
22135,11,20,nonspam,0.000000
22144,13,21,spam,1.000000
22149,2,28,spam,1.000000
22265,1,29,nonspam,0.000000
22316,24,20,nonspam,0.000000
22368,383,29,nonspam,0.000000
22479,20,34,nonspam,0.000000
22505,13,34,nonspam,0.000000
22613,408,16,nonspam,0.000000
22620,46,23,nonspam,0.000000
22649,16,20,nonspam,0.000000
22691,12,24,nonspam,0.000000
22789,13,30,nonspam,0.000000
22803,42,19,nonspam,0.000000
22853,39,40,nonspam,0.000000
22861,1,24,nonspam,0.000000
22895,25,29,nonspam,0.000000
22897,28713,27,spam,1.000000
22909,719,18,nonspam,0.000000
22930,6402,22,spam,1.000000
23030,5,23,nonspam,0.000000
23044,21,24,nonspam,0.000000
23048,53,14,nonspam,0.000000
23081,10,21,nonspam,0.000000
23136,13030,18,nonspam,0.000000
23157,10,23,nonspam,0.000000
23169,1,17,spam,0.785714
23174,12,18,nonspam,0.000000
23272,81,23,nonspam,0.083333
23280,3,19,nonspam,0.000000
23333,1,20,nonspam,0.000000
23338,1,26,nonspam,0.000000
23368,272,20,nonspam,0.000000
23394,11,26,nonspam,0.000000
23414,6,20,nonspam,0.000000
