@relation '.\\uk-2007-05.link_based_features.csv'

@attribute eq_hp_mp numeric
@attribute assortativity_hp numeric
@attribute assortativity_mp numeric
@attribute avgin_of_out_hp numeric
@attribute avgin_of_out_mp numeric
@attribute avgout_of_in_hp numeric
@attribute avgout_of_in_mp numeric
@attribute indegree_hp numeric
@attribute indegree_mp numeric
@attribute neighbors_2_hp numeric
@attribute neighbors_2_mp numeric
@attribute neighbors_3_hp numeric
@attribute neighbors_3_mp numeric
@attribute neighbors_4_hp numeric
@attribute neighbors_4_mp numeric
@attribute outdegree_hp numeric
@attribute outdegree_mp numeric
@attribute pagerank_hp numeric
@attribute pagerank_mp numeric
@attribute prsigma_hp numeric
@attribute prsigma_mp numeric
@attribute reciprocity_hp numeric
@attribute reciprocity_mp numeric
@attribute siteneighbors_1_hp numeric
@attribute siteneighbors_1_mp numeric
@attribute siteneighbors_2_hp numeric
@attribute siteneighbors_2_mp numeric
@attribute siteneighbors_3_hp numeric
@attribute siteneighbors_3_mp numeric
@attribute siteneighbors_4_hp numeric
@attribute siteneighbors_4_mp numeric
@attribute truncatedpagerank_1_hp numeric
@attribute truncatedpagerank_1_mp numeric
@attribute truncatedpagerank_2_hp numeric
@attribute truncatedpagerank_2_mp numeric
@attribute truncatedpagerank_3_hp numeric
@attribute truncatedpagerank_3_mp numeric
@attribute truncatedpagerank_4_hp numeric
@attribute truncatedpagerank_4_mp numeric
@attribute trustrank_hp numeric
@attribute trustrank_mp numeric
@attribute class {spam,nonspam}

@data
1,0.563521,0.563521,4232.694336,4232.694336,279.235291,279.235291,340,340,1377,1377,59692,59692,100278,100278,35,35,0,0,0.167794,0.167794,0.111111,0.111111,17,17,75,75,331,331,675,675,0,0,0,0,0,0,0,0,0,0,nonspam
0,0.071053,2.724138,2955.714355,33.153847,8.754098,16.051283,61,78,288,92,491,112,963,122,27,12,0,0,0.301318,0.18738,0.857143,1,5,1,9,1,13,1,32,1,0,0,0,0,0,0,0,0,0,0,nonspam
1,5.350097,5.350097,5294.571289,5294.571289,55.834728,55.834728,1434,1434,7818,7818,17244,17244,204416,204416,41,41,0,0,0.408312,0.408312,0.357143,0.357143,9,9,24,24,397,397,486,486,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.008282,0.008282,1,1,20,20,1,1,388,388,6354,6354,104972,104972,1,1,0,0,0,0,0,0,1,1,1,1,145,145,406,406,0,0,0,0,0,0,0,0,0,0,nonspam
1,85.949974,85.949974,7.237903,7.237903,4.479323,4.479323,532,532,629,629,1726,1726,45627,45627,248,248,0.000001,0.000001,0.063052,0.063052,0.995968,0.995968,1,1,3,3,59,59,72,72,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0,0,spam
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonspam
0,0.545304,4.809212,75.449997,133.25,27.75,18.18421,4,152,45,157,251,181,1008,256,39,7,0,0,0.493116,0.275047,0.025,0.75,2,1,2,2,2,2,27,2,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.321429,0.321429,2,2,4,4,1,1,11,11,18,18,23,23,2,2,0,0,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.035035,0.035035,1975.125,1975.125,16.166666,16.166666,18,18,44,44,3685,3685,43496,43496,7,7,0,0,0.457066,0.457066,0.75,0.75,5,5,7,7,7,7,27,27,0,0,0,0,0,0,0,0,0,0,nonspam
1,2.028043,2.028043,2439.769287,2439.769287,737.914917,737.914917,2973,2973,54385,54385,150417,150417,204416,204416,25,25,0,0,0.246354,0.246354,0.884615,0.884615,17,17,48,48,127,127,849,849,0,0,0,0,0,0,0,0,0,0,nonspam
1,1.282051,1.282051,13.333333,13.333333,10,10,15,15,18,18,18,18,18,18,8,8,0,0,0.358046,0.358046,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,nonspam
0,0.0625,0.636086,11,6,0,20.727272,0,11,0,61,0,232,0,9046,1,3,0,0,0,0.271783,1,0.75,0,3,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.598639,0.598639,5.5,5.5,16.142857,16.142857,7,7,14,14,424,424,8622,8622,4,4,0,0,0.107654,0.107654,0.75,0.75,3,3,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,nonspam
0,1,0.004684,0,18632.083984,0,26.857143,0,21,0,465,0,1778,0,8680,0,11,0,0,0,0.542086,1,0.25,0,10,0,17,0,36,0,89,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.561538,0.561538,985.694458,985.694458,32.424049,32.424049,158,158,14556,14556,26302,26302,119132,119132,35,35,0,0,0.892613,0.892613,0.722222,0.722222,3,3,10,10,177,177,523,523,0,0,0,0,0,0,0,0,0,0,nonspam
0,1.667048,1.443439,22.529411,25.266666,15.233334,15.25,30,28,37,37,52,37,931,52,17,14,0,0,0.492955,0.464053,0.941176,1,3,1,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,nonspam
1,2356.348145,2356.348145,103.779221,103.779221,13.979508,13.979508,63246,63246,39172,39172,65159,65159,74241,74241,154,154,0.000094,0.000094,0.211091,0.211091,0.967532,0.967532,8,8,11,11,15,15,15,15,0.000088,0.000088,0.000094,0.000094,0.000097,0.000097,0.000092,0.000092,0.000023,0.000023,spam
1,0.111015,0.111015,663.447388,663.447388,36.405407,36.405407,37,37,48,48,58,58,162,162,37,37,0,0,0.000295,0.000295,0.973684,0.973684,2,2,2,2,3,3,5,5,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.156863,0.156863,0,0,53.5,53.5,6,6,27,27,870,870,9948,9948,0,0,0,0,0.075863,0.075863,1,1,4,4,6,6,6,6,9,9,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.151119,0.151119,0,0,23.222221,23.222221,9,9,134,134,4733,4733,46807,46807,0,0,0,0,0.896817,0.896817,1,1,2,2,3,3,331,331,427,427,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.255708,0.255708,22.428572,22.428572,0,0,0,0,1,1,1,1,1,1,6,6,0,0,0,0,0.142857,0.142857,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.457143,0.457143,0,0,37.9375,37.9375,32,32,680,680,1068,1068,81941,81941,0,0,0,0,0.209638,0.209638,1,1,4,4,5,5,24,24,37,37,0,0,0,0,0,0,0,0,0,0,nonspam
0,1.055876,1.151406,36,21.799999,23.897436,22.777779,39,36,39,37,63,39,449,63,8,14,0,0,0.238268,0.159594,1,1,3,1,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.338634,0.338634,6.571429,6.571429,29.6,29.6,35,35,4626,4626,8834,8834,22805,22805,7,7,0,0,1.507731,1.507731,0.857143,0.857143,9,9,18,18,177,177,392,392,0,0,0,0,0,0,0,0,0,0,spam
1,0.583077,0.583077,4038.735352,4038.735352,282.214294,282.214294,336,336,1377,1377,59692,59692,100278,100278,33,33,0,0,0.168796,0.168796,0.088235,0.088235,17,17,75,75,331,331,675,675,0,0,0,0,0,0,0,0,0,0,nonspam
0,38.178303,0.354597,36,24.833334,58.256119,8.083333,3717,36,8843,4543,17563,8843,28520,17563,1,6,0,0,0.185593,1.748147,0,1,2,1,29,2,59,45,144,59,0,0.000001,0,0.000001,0,0.000001,0,0.000001,0,0,nonspam
1,0.591581,0.591581,3453.14624,3453.14624,282.19104,282.19104,335,335,1377,1377,59692,59692,100278,100278,40,40,0,0,0.133124,0.133124,0.073171,0.073171,17,17,75,75,331,331,675,675,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.016363,0.016363,11282.882813,11282.882813,55.282608,55.282608,46,46,11472,11472,65159,65159,635963,635963,16,16,0,0,1.9704,1.9704,0.470588,0.470588,6,6,29,29,619,619,2482,2482,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0,0,nonspam
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonspam
0,6.230769,16.268908,1,0,37.666668,1.704545,3,44,11,43,742,51,9684,63,33,0,0,0,0.036222,0,0,1,3,1,4,1,4,4,8,4,0,0,0,0,0,0,0,0,0,0,spam
1,0.460251,0.460251,0,0,16.666666,16.666666,9,9,84,84,1202,1202,3825,3825,0,0,0,0,0.104012,0.104012,1,1,6,6,8,8,8,8,19,19,0,0,0,0,0,0,0,0,0,0,spam
1,0.035263,0.035263,4,4,48.400002,48.400002,20,20,8549,8549,317980,317980,635963,635963,1,1,0,0,2.179972,2.179972,0,0,5,5,75,75,619,619,2482,2482,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.705882,0.705882,2,2,6.5,6.5,4,4,7,7,9,9,105,105,2,2,0,0,0.361619,0.361619,1,1,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,nonspam
1,3.760514,3.760514,309.236115,309.236115,64.689651,64.689651,406,406,606,606,694,694,2652,2652,71,71,0,0,0.538073,0.538073,0.930556,0.930556,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.333333,0.333333,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.007119,0.007119,2443.888916,2443.888916,34.400002,34.400002,10,10,13973,13973,29114,29114,173111,173111,8,8,0,0,2.304958,2.304958,0.777778,0.777778,4,4,8,8,619,619,849,849,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.003044,0.003044,20093,20093,122.85714,122.85714,7,7,55,55,2365,2365,9800,9800,1,1,0,0,0.573508,0.573508,0,0,5,5,13,13,29,29,46,46,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.210161,0.210161,255,255,8,8,14,14,79,79,3933,3933,13985,13985,8,8,0,0,0.050497,0.050497,0,0,2,2,9,9,17,17,209,209,0,0,0,0,0,0,0,0,0,0,nonspam
1,574.957764,574.957764,16952.166016,16952.166016,15.510673,15.510673,19067,19067,27386,27386,48651,48651,164558,164558,17,17,0.000003,0.000003,0.014852,0.014852,0.555556,0.555556,5,5,20,20,187,187,466,466,0.000002,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,nonspam
0,0.210526,4.615385,9,2.545455,10,2.111111,2,9,15,15,23,23,24,16,2,11,0,0,0.001616,0.009706,1,0.727273,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,nonspam
0,18.831978,0.004511,22456.572266,1982.833374,11.759269,6,1915,2,7114,1814,42489,1814,70922,7114,6,5,0.000001,0.000001,0.167822,0,0.428571,0.5,3,1,6,1,116,5,297,10,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0,0,nonspam
1,12.259982,12.259982,259.615387,259.615387,12.575851,12.575851,323,323,471,471,6249,6249,44508,44508,12,12,0,0,0.308491,0.308491,0.692308,0.692308,3,3,11,11,145,145,268,268,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.567587,0.567587,3984.0271,3984.0271,282.190491,282.190491,336,336,1377,1377,59692,59692,100278,100278,36,36,0,0,0.168799,0.168799,0.081081,0.081081,17,17,75,75,331,331,675,675,0,0,0,0,0,0,0,0,0,0,nonspam
0,1.12,1.126437,7,6.285714,6.875,6.142857,8,7,9,8,26,9,381,26,6,7,0,0,0.23961,0.120987,1,1,2,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.006995,0.006995,20644.974609,20644.974609,33.490196,33.490196,51,51,633,633,50301,50301,272555,272555,39,39,0,0,0.612771,0.612771,0.725,0.725,4,4,25,25,132,132,908,908,0,0,0,0,0,0,0,0,0,0,nonspam
1,282.195435,282.195435,101.759338,101.759338,7.781372,7.781372,4112,4112,4116,4116,7449,7449,173111,173111,240,240,0.000003,0.000003,0.202183,0.202183,0.995851,0.995851,2,2,35,35,168,168,427,427,0.000004,0.000004,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000001,0.000001,spam
0,172.529205,156.28685,1727.290283,5540.342285,55.276192,55.286015,15319,15314,14158,14158,29484,29484,35643,35643,30,37,0.000001,0.000001,0.130577,0.130596,1,0.421053,1,1,1,1,8,6,104,101,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0,0,0,0,nonspam
1,0.351229,0.351229,86.95652,86.95652,95.666664,95.666664,3,3,141,141,4843,4843,26026,26026,46,46,0,0,0.738202,0.738202,0,0,1,1,1,1,5,5,354,354,0,0,0,0,0,0,0,0,0,0,nonspam
0,0.513699,7.395555,1.4,7.54,15,5.478261,10,46,55,81,1357,148,119384,202,5,50,0,0,0.140765,0.266322,0,0.88,8,1,9,1,9,9,19,9,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.051282,0.051282,0,0,34.5,34.5,2,2,8,8,42,42,9800,9800,0,0,0,0,0.063945,0.063945,1,1,1,1,1,1,1,1,55,55,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.051672,0.051672,512.615356,512.615356,11.285714,11.285714,7,7,29,29,190,190,4110,4110,13,13,0,0,0.054227,0.054227,0.153846,0.153846,4,4,5,5,5,5,7,7,0,0,0,0,0,0,0,0,0,0,nonspam
0,0.038462,0.00232,0,0,39.5,24,2,1,25,449,55,1051,540,14455,0,0,0,0,0.003195,0,1,1,1,1,1,2,4,32,20,95,0,0,0,0,0,0,0,0,0,0,nonspam
