eq_hp_mp,assortativity_mp,avgin_of_out_hp,avgin_of_out_mp,avgout_of_in_mp,indegree_hp,indegree_mp,neighbors_2_hp,neighbors_2_mp,neighbors_3_mp,neighbors_4_hp,neighbors_4_mp,outdegree_hp,outdegree_mp,pagerank_hp,pagerank_mp,prsigma_hp,prsigma_mp,siteneighbors_1_hp,siteneighbors_1_mp,siteneighbors_2_hp,siteneighbors_2_mp,siteneighbors_3_hp,siteneighbors_3_mp,siteneighbors_4_hp,siteneighbors_4_mp,truncatedpagerank_1_hp,truncatedpagerank_1_mp,truncatedpagerank_2_hp,truncatedpagerank_2_mp,truncatedpagerank_3_hp,truncatedpagerank_3_mp,truncatedpagerank_4_hp,truncatedpagerank_4_mp,class
1,0.107221,0,0,50,7,7,102,102,248,4226,4226,0,0,0,0,0.309674,0.309674,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,nonspam
1,1.042296,7.714286,7.714286,23.59091,22,22,57,57,2366,11914,11914,6,6,0,0,0.865281,0.865281,8,8,12,12,12,12,12,12,0,0,0,0,0,0,0,0,nonspam
1,1.484568,22.583334,22.583334,12.708333,24,24,37,37,125,19056,19056,11,11,0,0,0.287728,0.287728,5,5,6,6,6,6,6,6,0,0,0,0,0,0,0,0,nonspam
0,1.909782,11729.526367,10161.181641,27.643171,3,681,1425,1525,52605,1632,204416,18,21,0,0,2.146022,0.337477,1,3,1,10,5,199,10,508,0,0,0,0,0,0,0,0,nonspam
1,0.266758,127.25,127.25,16.1,10,10,31,31,476,14087,14087,3,3,0,0,0.260505,0.260505,7,7,10,10,19,19,28,28,0,0,0,0,0,0,0,0,nonspam
1,0.106383,3,3,38.25,4,4,28,28,90,1677,1677,1,1,0,0,0.13412,0.13412,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,nonspam
0,0.973236,15,13.222222,15.466666,1,15,2,16,18,3040,181,1,8,0,0,0,0.282171,1,1,1,2,1,2,1,2,0,0,0,0,0,0,0,0,nonspam
1,0.076923,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonspam
1,2.156046,82.519997,82.519997,27.811111,90,90,148,148,283,407,407,24,24,0,0,0.656176,0.656176,3,3,3,3,6,6,7,7,0,0,0,0,0,0,0,0,nonspam
0,2.193548,3107.5625,33.25,11.045455,14,44,402,57,231,18507,1297,15,24,0,0,0.679322,0.175452,6,2,29,10,58,13,138,17,0,0,0,0,0,0,0,0,nonspam
0,0.5,55999,0,1,2,1,4,2,5,37,6,1,0,0,0,0.000942,0,1,1,1,1,6,1,6,1,0,0,0,0,0,0,0,0,nonspam
1,603.386902,16716.054688,16716.054688,25.001984,47394,47394,29846,29846,41602,43496,43496,143,143,0.000003,0.000003,0.039203,0.039203,1,1,12,12,14,14,70,70,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,nonspam
1,0.259928,14.5,14.5,16.857143,7,7,191,191,3107,38222,38222,2,2,0,0,0.577057,0.577057,5,5,18,18,111,111,209,209,0,0,0,0,0,0,0,0,nonspam
1,2.339399,123.375,123.375,15.513514,74,74,93,93,93,93,93,15,15,0,0,0.001038,0.001038,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,spam
0,0.45,5562,0,4.333333,4,3,14,7,15,17810,593,10,0,0,0,0.063988,0.013534,2,1,2,3,4,3,20,6,0,0,0,0,0,0,0,0,nonspam
0,0.642857,4528.200195,0,2.666667,4,3,20,4,8,451,24,4,0,0,0,0.05656,0.009176,3,1,4,1,4,4,28,4,0,0,0,0,0,0,0,0,nonspam
1,0.333333,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonspam
0,46.5,4.25,2,2.912037,1,216,3,277,302,289,302,8,1,0,0,0,0.130469,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,nonspam
0,37.970711,1,35.5,2.570552,69,163,240,189,416,911,546,1,2,0,0,0.703609,0.259754,1,1,1,6,8,6,12,24,0,0,0,0,0,0,0,0,nonspam
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonspam
0,286.170807,1914.480469,150.222229,38.503551,20266,19432,32579,31174,38801,106730,52053,76,17,0.000007,0.000009,0.227477,0.274469,3,1,75,3,152,132,642,300,0.000008,0.000011,0.000007,0.000011,0.000007,0.000011,0.000006,0.000012,nonspam
0,63.733929,366.787872,553.900024,10.889775,149,1379,2851,1780,3776,73909,11368,33,9,0,0.000004,0.409126,0.290716,4,1,14,8,23,18,508,23,0,0.000005,0,0.000005,0,0.000005,0,0.000005,nonspam
1,6.863007,33047.5,33047.5,26.402245,2941,2941,10622,10622,96418,164558,164558,33,33,0.000001,0.000001,0.240969,0.240969,17,17,25,25,121,121,797,797,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,spam
1,0.42328,122.800003,122.800003,15.25,16,16,16,16,16,16,16,14,14,0,0,0.000305,0.000305,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,spam
1,0.010899,0,0,32,2,2,311,311,352,10622,10622,0,0,0,0,0.006287,0.006287,2,2,2,2,31,31,33,33,0,0,0,0,0,0,0,0,nonspam
1,0.296684,7741,7741,606.635376,362,362,26059,26059,317980,635963,635963,1,1,0,0,0.399816,0.399816,17,17,75,75,619,619,2482,2482,0,0,0,0,0,0,0,0,nonspam
0,1.474201,15.727273,15.3,10.105263,3,19,7,24,27,1135,99,10,9,0,0,0.026875,0.486425,3,1,4,4,4,4,7,4,0,0,0,0,0,0,0,0,nonspam
1,0.991968,7.625,7.625,13.4,10,10,45,45,911,27286,27286,7,7,0,0,0.316544,0.316544,4,4,13,13,37,37,181,181,0,0,0,0,0,0,0,0,nonspam
1,0.327548,151.399994,151.399994,16.523809,21,21,245,245,20312,30828,30828,9,9,0,0,1.154207,1.154207,5,5,8,8,31,31,34,34,0,0,0,0,0,0,0,0,nonspam
1,0.214286,40.5,40.5,11,4,4,24,24,80,3908,3908,2,2,0,0,0.239008,0.239008,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,nonspam
1,0.569274,4582.700195,4582.700195,281.410706,336,336,1377,1377,59692,93682,93682,29,29,0,0,0.168785,0.168785,17,17,75,75,331,331,675,675,0,0,0,0,0,0,0,0,nonspam
0,1.481481,1,1.25,5,2,4,5,7,8,8,8,1,4,0,0,0.154287,0.000893,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,nonspam
0,0.293032,15.181818,6872.5,17.552,23,125,74,222,1085,70750,3183,10,8,0,0,0.757104,0.36503,4,6,19,14,37,20,712,119,0,0,0,0,0,0,0,0,nonspam
1,4.986251,24.666666,24.666666,7.970149,67,67,84,84,84,84,84,11,11,0,0,0.341927,0.341927,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,nonspam
0,0.103448,0,0,27.666666,0,3,0,7,665,0,21223,0,0,0,0,0,0.02724,0,3,0,3,0,3,0,12,0,0,0,0,0,0,0,0,nonspam
1,0.085106,978,978,44.090908,11,11,137,137,920,39674,39674,1,1,0,0,0.368768,0.368768,4,4,6,6,16,16,66,66,0,0,0,0,0,0,0,0,spam
1,2.064827,61.049999,61.049999,28.702127,94,94,162,162,165,177,177,19,19,0,0,0.471943,0.471943,3,3,3,3,3,3,4,4,0,0,0,0,0,0,0,0,nonspam
1,0.028902,0,0,77.333336,3,3,442,442,4517,42446,42446,0,0,0,0,0.881466,0.881466,3,3,4,4,4,4,6,6,0,0,0,0,0,0,0,0,nonspam
0,0.764706,4.5,4.333333,12.5,5,6,6,6,6,6,6,5,5,0,0,0.000001,0.274238,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,spam
0,1.067416,1,17.666666,17.736841,7,19,155,20,20,8034,24,1,17,0,0,0.576117,0.163507,4,1,6,1,6,1,6,6,0,0,0,0,0,0,0,0,nonspam
1,0.142857,0,0,11.5,2,2,5,5,24,694,694,0,0,0,0,0.016202,0.016202,2,2,3,3,3,3,4,4,0,0,0,0,0,0,0,0,spam
1,0.9388,360.700012,360.700012,137.594147,239,239,552,552,6650,91672,91672,10,10,0,0,0.174722,0.174722,2,2,24,24,40,40,227,227,0,0,0,0,0,0,0,0,nonspam
1,0.563521,4232.694336,4232.694336,279.235291,340,340,1377,1377,59692,100278,100278,35,35,0,0,0.167794,0.167794,17,17,75,75,331,331,675,675,0,0,0,0,0,0,0,0,nonspam
0,2.724138,2955.714355,33.153847,16.051283,61,78,288,92,112,963,122,27,12,0,0,0.301318,0.18738,5,1,9,1,13,1,32,1,0,0,0,0,0,0,0,0,nonspam
1,5.350097,5294.571289,5294.571289,55.834728,1434,1434,7818,7818,17244,204416,204416,41,41,0,0,0.408312,0.408312,9,9,24,24,397,397,486,486,0,0,0,0,0,0,0,0,nonspam
1,0.008282,1,1,20,1,1,388,388,6354,104972,104972,1,1,0,0,0,0,1,1,1,1,145,145,406,406,0,0,0,0,0,0,0,0,nonspam
1,85.949974,7.237903,7.237903,4.479323,532,532,629,629,1726,45627,45627,248,248,0.000001,0.000001,0.063052,0.063052,1,1,3,3,59,59,72,72,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,spam
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonspam
0,4.809212,75.449997,133.25,18.18421,4,152,45,157,181,1008,256,39,7,0,0,0.493116,0.275047,2,1,2,2,2,2,27,2,0,0,0,0,0,0,0,0,nonspam
1,0.321429,2,2,4,1,1,11,11,18,23,23,2,2,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,nonspam
1,0.035035,1975.125,1975.125,16.166666,18,18,44,44,3685,43496,43496,7,7,0,0,0.457066,0.457066,5,5,7,7,7,7,27,27,0,0,0,0,0,0,0,0,nonspam
1,2.028043,2439.769287,2439.769287,737.914917,2973,2973,54385,54385,150417,204416,204416,25,25,0,0,0.246354,0.246354,17,17,48,48,127,127,849,849,0,0,0,0,0,0,0,0,nonspam
1,1.282051,13.333333,13.333333,10,15,15,18,18,18,18,18,8,8,0,0,0.358046,0.358046,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,nonspam
0,0.636086,11,6,20.727272,0,11,0,61,232,0,9046,1,3,0,0,0,0.271783,0,3,0,5,0,5,0,5,0,0,0,0,0,0,0,0,nonspam
1,0.598639,5.5,5.5,16.142857,7,7,14,14,424,8622,8622,4,4,0,0,0.107654,0.107654,3,3,5,5,5,5,5,5,0,0,0,0,0,0,0,0,nonspam
0,0.004684,0,18632.083984,26.857143,0,21,0,465,1778,0,8680,0,11,0,0,0,0.542086,0,10,0,17,0,36,0,89,0,0,0,0,0,0,0,0,nonspam
1,0.561538,985.694458,985.694458,32.424049,158,158,14556,14556,26302,119132,119132,35,35,0,0,0.892613,0.892613,3,3,10,10,177,177,523,523,0,0,0,0,0,0,0,0,nonspam
0,1.443439,22.529411,25.266666,15.25,30,28,37,37,37,931,52,17,14,0,0,0.492955,0.464053,3,1,3,3,3,3,3,3,0,0,0,0,0,0,0,0,nonspam
1,2356.348145,103.779221,103.779221,13.979508,63246,63246,39172,39172,65159,74241,74241,154,154,0.000094,0.000094,0.211091,0.211091,8,8,11,11,15,15,15,15,0.000088,0.000088,0.000094,0.000094,0.000097,0.000097,0.000092,0.000092,spam
1,0.111015,663.447388,663.447388,36.405407,37,37,48,48,58,162,162,37,37,0,0,0.000295,0.000295,2,2,2,2,3,3,5,5,0,0,0,0,0,0,0,0,nonspam
1,0.156863,0,0,53.5,6,6,27,27,870,9948,9948,0,0,0,0,0.075863,0.075863,4,4,6,6,6,6,9,9,0,0,0,0,0,0,0,0,nonspam
1,0.151119,0,0,23.222221,9,9,134,134,4733,46807,46807,0,0,0,0,0.896817,0.896817,2,2,3,3,331,331,427,427,0,0,0,0,0,0,0,0,nonspam
1,0.255708,22.428572,22.428572,0,0,0,1,1,1,1,1,6,6,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,nonspam
1,0.457143,0,0,37.9375,32,32,680,680,1068,81941,81941,0,0,0,0,0.209638,0.209638,4,4,5,5,24,24,37,37,0,0,0,0,0,0,0,0,nonspam
0,1.151406,36,21.799999,22.777779,39,36,39,37,39,449,63,8,14,0,0,0.238268,0.159594,3,1,3,3,3,3,3,3,0,0,0,0,0,0,0,0,nonspam
1,0.338634,6.571429,6.571429,29.6,35,35,4626,4626,8834,22805,22805,7,7,0,0,1.507731,1.507731,9,9,18,18,177,177,392,392,0,0,0,0,0,0,0,0,spam
1,0.583077,4038.735352,4038.735352,282.214294,336,336,1377,1377,59692,100278,100278,33,33,0,0,0.168796,0.168796,17,17,75,75,331,331,675,675,0,0,0,0,0,0,0,0,nonspam
0,0.354597,36,24.833334,8.083333,3717,36,8843,4543,8843,28520,17563,1,6,0,0,0.185593,1.748147,2,1,29,2,59,45,144,59,0,0.000001,0,0.000001,0,0.000001,0,0.000001,nonspam
1,0.591581,3453.14624,3453.14624,282.19104,335,335,1377,1377,59692,100278,100278,40,40,0,0,0.133124,0.133124,17,17,75,75,331,331,675,675,0,0,0,0,0,0,0,0,nonspam
1,0.016363,11282.882813,11282.882813,55.282608,46,46,11472,11472,65159,635963,635963,16,16,0,0,1.9704,1.9704,6,6,29,29,619,619,2482,2482,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,nonspam
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonspam
0,16.268908,1,0,1.704545,3,44,11,43,51,9684,63,33,0,0,0,0.036222,0,3,1,4,1,4,4,8,4,0,0,0,0,0,0,0,0,spam
1,0.460251,0,0,16.666666,9,9,84,84,1202,3825,3825,0,0,0,0,0.104012,0.104012,6,6,8,8,8,8,19,19,0,0,0,0,0,0,0,0,spam
1,0.035263,4,4,48.400002,20,20,8549,8549,317980,635963,635963,1,1,0,0,2.179972,2.179972,5,5,75,75,619,619,2482,2482,0,0,0,0,0,0,0,0,nonspam
1,0.705882,2,2,6.5,4,4,7,7,9,105,105,2,2,0,0,0.361619,0.361619,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,nonspam
1,3.760514,309.236115,309.236115,64.689651,406,406,606,606,694,2652,2652,71,71,0,0,0.538073,0.538073,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,nonspam
1,0.333333,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonspam
1,0.007119,2443.888916,2443.888916,34.400002,10,10,13973,13973,29114,173111,173111,8,8,0,0,2.304958,2.304958,4,4,8,8,619,619,849,849,0,0,0,0,0,0,0,0,nonspam
1,0.003044,20093,20093,122.85714,7,7,55,55,2365,9800,9800,1,1,0,0,0.573508,0.573508,5,5,13,13,29,29,46,46,0,0,0,0,0,0,0,0,nonspam
1,0.210161,255,255,8,14,14,79,79,3933,13985,13985,8,8,0,0,0.050497,0.050497,2,2,9,9,17,17,209,209,0,0,0,0,0,0,0,0,nonspam
1,574.957764,16952.166016,16952.166016,15.510673,19067,19067,27386,27386,48651,164558,164558,17,17,0.000003,0.000003,0.014852,0.014852,5,5,20,20,187,187,466,466,0.000002,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,nonspam
0,4.615385,9,2.545455,2.111111,2,9,15,15,23,24,16,2,11,0,0,0.001616,0.009706,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,nonspam
0,0.004511,22456.572266,1982.833374,6,1915,2,7114,1814,1814,70922,7114,6,5,0.000001,0.000001,0.167822,0,3,1,6,1,116,5,297,10,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,nonspam
1,12.259982,259.615387,259.615387,12.575851,323,323,471,471,6249,44508,44508,12,12,0,0,0.308491,0.308491,3,3,11,11,145,145,268,268,0,0,0,0,0,0,0,0,nonspam
1,0.567587,3984.0271,3984.0271,282.190491,336,336,1377,1377,59692,100278,100278,36,36,0,0,0.168799,0.168799,17,17,75,75,331,331,675,675,0,0,0,0,0,0,0,0,nonspam
0,1.126437,7,6.285714,6.142857,8,7,9,8,9,381,26,6,7,0,0,0.23961,0.120987,2,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,nonspam
1,0.006995,20644.974609,20644.974609,33.490196,51,51,633,633,50301,272555,272555,39,39,0,0,0.612771,0.612771,4,4,25,25,132,132,908,908,0,0,0,0,0,0,0,0,nonspam
1,282.195435,101.759338,101.759338,7.781372,4112,4112,4116,4116,7449,173111,173111,240,240,0.000003,0.000003,0.202183,0.202183,2,2,35,35,168,168,427,427,0.000004,0.000004,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,spam
0,156.28685,1727.290283,5540.342285,55.286015,15319,15314,14158,14158,29484,35643,35643,30,37,0.000001,0.000001,0.130577,0.130596,1,1,1,1,8,6,104,101,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0,0,nonspam
1,0.351229,86.95652,86.95652,95.666664,3,3,141,141,4843,26026,26026,46,46,0,0,0.738202,0.738202,1,1,1,1,5,5,354,354,0,0,0,0,0,0,0,0,nonspam
0,7.395555,1.4,7.54,5.478261,10,46,55,81,148,119384,202,5,50,0,0,0.140765,0.266322,8,1,9,1,9,9,19,9,0,0,0,0,0,0,0,0,nonspam
1,0.051282,0,0,34.5,2,2,8,8,42,9800,9800,0,0,0,0,0.063945,0.063945,1,1,1,1,1,1,55,55,0,0,0,0,0,0,0,0,nonspam
1,0.051672,512.615356,512.615356,11.285714,7,7,29,29,190,4110,4110,13,13,0,0,0.054227,0.054227,4,4,5,5,5,5,7,7,0,0,0,0,0,0,0,0,nonspam
0,0.00232,0,0,24,2,1,25,449,1051,540,14455,0,0,0,0,0.003195,0,1,1,1,2,4,32,20,95,0,0,0,0,0,0,0,0,nonspam
0,0.074975,7763,83,79.296608,122,118,12432,21244,32139,119308,119308,1,1,0,0,0.162381,2.670561,4,1,6,14,6,106,24,222,0,0.000001,0,0.000001,0,0.000001,0,0.000001,nonspam
0,0.003299,2885.642822,7671.777832,4.4,0,10,0,19,21,0,27,14,9,0,0,0,0.144482,0,1,0,1,0,3,0,3,0,0,0,0,0,0,0,0,nonspam
1,2.655678,38.5,38.5,12.530612,49,49,66,66,486,9244,9244,7,7,0,0,0.479108,0.479108,3,3,5,5,5,5,6,6,0,0,0,0,0,0,0,0,nonspam
1,1.147541,1.25,1.25,7.4,5,5,10,10,37,155,155,3,3,0,0,0.124149,0.124149,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,nonspam
0,1.333333,3,4,4,3,6,7,11,14,33,28,2,2,0,0,0.374071,0.566812,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,nonspam
1,1.447368,6.875,6.875,9.615385,13,13,29,29,101,1141,1141,7,7,0,0,0.207537,0.207537,4,4,4,4,4,4,6,6,0,0,0,0,0,0,0,0,nonspam
0,7.781893,1.5,2.866667,3.166667,16,30,44,28,35,162,61,2,29,0,0,0.145501,0.034067,3,1,3,1,3,1,3,1,0,0,0,0,0,0,0,0,nonspam
1,0.272727,0,0,16,6,6,38,38,435,42488,42488,0,0,0,0,0.15066,0.15066,3,3,5,5,5,5,5,5,0,0,0,0,0,0,0,0,nonspam
1,2.289376,20.666666,20.666666,20.47826,69,69,169,169,787,96355,96355,9,9,0,0,0.246389,0.246389,3,3,4,4,106,106,190,190,0,0,0,0,0,0,0,0,nonspam
1,8.316455,89.92308,89.92308,20.288889,315,315,251,251,415,10859,10859,12,12,0,0,0.485255,0.485255,3,3,3,3,94,94,106,106,0,0,0,0,0,0,0,0,nonspam
1,0.394366,19.375,19.375,41.166668,12,12,147,147,82278,217543,217543,7,7,0,0,1.828397,1.828397,5,5,7,7,292,292,908,908,0,0,0,0,0,0,0,0,nonspam
1,0.041721,0,0,40.25,8,8,1285,1285,1665,19818,19818,0,0,0,0,1.28518,1.28518,5,5,10,10,51,51,59,59,0,0,0,0,0,0,0,0,nonspam
0,0.5,1,0,1,1,1,3,2,4,270,22,1,0,0,0,0,0,1,1,1,2,1,2,1,2,0,0,0,0,0,0,0,0,nonspam
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonspam
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonspam
1,5.951169,11466.729492,11466.729492,45.313137,1964,1964,2026,2026,317980,635963,635963,47,47,0,0,0.366904,0.366904,2,2,2,2,109,109,181,181,0,0,0,0,0,0,0,0,nonspam
0,0.201491,0,1,18.037037,129,27,2795,2842,3647,173111,5946,0,1,0,0,0.51561,0.681269,17,6,75,12,116,48,446,69,0,0,0,0,0,0,0,0,nonspam
1,3.510039,243.777771,243.777771,28.467337,199,199,226,226,1712,14241,14241,26,26,0,0,0.675603,0.675603,3,3,10,10,19,19,62,62,0,0,0,0,0,0,0,0,nonspam
1,141.487503,5487.055664,5487.055664,27.569735,7758,7758,8910,8910,116348,156689,156689,17,17,0.000002,0.000002,0.152139,0.152139,5,5,12,12,75,75,290,290,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,nonspam
1,9.888236,1,1,23,2,2,79,79,956,1130,1130,39,39,0,0,0.001767,0.001767,2,2,2,2,6,6,6,6,0,0,0,0,0,0,0,0,spam
0,0.285714,2,0,5.5,0,2,0,4,21,0,406,1,0,0,0,0,0.032213,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,nonspam
1,6.989223,20.933332,20.933332,19.372385,239,239,488,488,13063,125883,125883,15,15,0,0,0.510558,0.510558,5,5,7,7,15,15,36,36,0,0,0,0,0,0,0,0,spam
1,0.025788,146,146,18.5,2,2,142,142,482,2010,2010,1,1,0,0,1.323318,1.323318,2,2,9,9,13,13,33,33,0,0,0,0,0,0,0,0,spam
0,0.655879,12179.888672,27331,3.289474,285,266,1323,619,1349,17643,16043,9,3,0,0,0.152747,0.183699,3,1,4,3,6,4,51,6,0,0,0,0,0,0,0,0,nonspam
1,0.258624,317.823517,317.823517,5.538462,26,26,98,98,2741,61139,61139,17,17,0,0,0.633598,0.633598,5,5,15,15,15,15,64,64,0,0,0,0,0,0,0,0,nonspam
0,326.186768,2191.444336,1602.125,9.659438,60,6733,300,7867,11146,173111,11146,9,15,0,0.00001,0.361616,0.165928,9,1,13,2,16,14,402,21,0,0.000005,0,0.000004,0,0.000003,0,0.000003,nonspam
1,0.3125,2.25,2.25,18.75,4,4,46,46,203,731,731,3,3,0,0,0.025155,0.025155,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,nonspam
0,434.37439,13201.450195,927.585449,22.30344,20896,20897,23233,23233,25429,94674,94674,19,356,0.000006,0.000006,0.195071,0.195221,2,3,10,10,31,31,148,148,0.000007,0.000007,0.000007,0.000007,0.000006,0.000006,0.000006,0.000006,nonspam
0,2.801122,0,3408.278809,60.311028,859,807,1740,4340,7117,5428,34488,0,60,0,0,0.044347,0.475298,1,2,2,14,5,102,14,276,0,0,0,0,0,0,0,0,nonspam
1,0.152542,0,0,17.666666,3,3,9,9,3159,10938,10938,0,0,0,0,1.623375,1.623375,3,3,4,4,14,14,27,27,0,0,0,0,0,0,0,0,nonspam
1,128.362137,3314.785645,3314.785645,11.811611,4358,4358,32579,32579,91240,119860,119860,13,13,0.000008,0.000008,0.21607,0.21607,2,2,12,12,27,27,39,39,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,nonspam
0,26.353064,1084,587,21.777676,485,1084,24088,2115,65774,130318,182481,1,20,0,0.000002,0.282108,0.217762,8,17,15,75,99,138,248,363,0,0.000002,0,0.000002,0,0.000001,0,0.000001,nonspam
1,415.623169,570,570,20.226278,15229,15229,15644,15644,19897,250619,250619,18,18,0.000006,0.000006,0.206421,0.206421,5,5,16,16,118,118,712,712,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000005,0.000005,nonspam
