L_indegree_mp,L_outdegree_hp,L_outdegree_mp,L_assortativity_mp,L_avgin_of_out_hp,L_avgin_of_out_mp,log_OP_avgin_of_out_hp_mul_outdegree_hp_CP_,log_OP_avgin_of_out_mp_mul_outdegree_mp_CP_,L_avgout_of_in_mp,log_OP_avgout_of_in_hp_mul_indegree_hp_CP_,log_OP_avgout_of_in_mp_mul_indegree_mp_CP_,eq_hp_mp,L_pagerank_hp,L_pagerank_mp,log_OP_indegree_mp_div_pagerank_mp_CP_,log_OP_outdegree_hp_div_pagerank_hp_CP_,log_OP_outdegree_mp_div_pagerank_mp_CP_,L_prsigma_hp,L_prsigma_mp,log_OP_prsigma_hp_div_pagerank_hp_CP_,log_OP_prsigma_mp_div_pagerank_mp_CP_,L_trustrank_hp,L_trustrank_mp,log_OP_trustrank_mp_div_indegree_mp_CP_,L_siteneighbors_1_hp,L_siteneighbors_2_hp,L_siteneighbors_3_hp,L_siteneighbors_4_hp,L_siteneighbors_1_mp,L_siteneighbors_2_mp,L_siteneighbors_3_mp,L_siteneighbors_4_mp,log_OP_siteneighbors_1_hp_div_pagerank_hp_CP_,log_OP_siteneighbors_2_hp_div_pagerank_hp_CP_,log_OP_siteneighbors_3_hp_div_pagerank_hp_CP_,log_OP_siteneighbors_1_mp_div_pagerank_mp_CP_,log_OP_siteneighbors_2_mp_div_pagerank_mp_CP_,log_OP_siteneighbors_3_mp_div_pagerank_mp_CP_,log_OP_siteneighbors_4_mp_div_pagerank_mp_CP_,log_OP_siteneighbors_2_hp_div_siteneighbors_1_hp_CP_,log_OP_siteneighbors_2_mp_div_siteneighbors_1_mp_CP_,log_OP__OP_siteneighbors_2_hp_m_siteneighbors_1_hp_CP__div_pagerank_hp_CP_,log_OP__OP_siteneighbors_2_mp_m_siteneighbors_1_mp_CP__div_pagerank_mp_CP_,siteneighbors_1_hp_div_siteneighbors_1_mp,L_neighbors_2_hp,L_neighbors_4_hp,L_neighbors_2_mp,L_neighbors_3_mp,L_neighbors_4_mp,log_OP_neighbors_2_mp_div_pagerank_mp_CP_,log_OP_neighbors_3_mp_div_pagerank_mp_CP_,log_OP_neighbors_4_mp_div_pagerank_mp_CP_,log_OP_neighbors_3_hp_div_neighbors_2_hp_CP_,log_OP_max_OP_neighbors_2_mp_div_indegree_mp_neighbors_3_mp_div_neighbors_2_mp_neighbors_4_mp_div_neighbors_3_mp_CP__CP_,log_OP_avg_OP_neighbors_2_hp_div_indegree_hp_neighbors_3_hp_div_neighbors_2_hp_neighbors_4_hp_div_neighbors_3_hp_CP__CP_,log_OP_avg_OP_neighbors_2_mp_div_indegree_mp_neighbors_3_mp_div_neighbors_2_mp_neighbors_4_mp_div_neighbors_3_mp_CP__CP_,neighbors_3_hp_div_neighbors_3_mp,L_truncatedpagerank_1_hp,L_truncatedpagerank_2_hp,L_truncatedpagerank_3_hp,L_truncatedpagerank_4_hp,L_truncatedpagerank_1_mp,L_truncatedpagerank_2_mp,L_truncatedpagerank_3_mp,L_truncatedpagerank_4_mp,log_OP_truncatedpagerank_1_hp_div_pagerank_hp_CP_,log_OP_truncatedpagerank_2_hp_div_pagerank_hp_CP_,log_OP_truncatedpagerank_3_hp_div_pagerank_hp_CP_,log_OP_truncatedpagerank_4_hp_div_pagerank_hp_CP_,log_OP_truncatedpagerank_1_mp_div_pagerank_mp_CP_,log_OP_truncatedpagerank_2_mp_div_pagerank_mp_CP_,log_OP_truncatedpagerank_3_mp_div_pagerank_mp_CP_,log_OP_truncatedpagerank_4_mp_div_pagerank_mp_CP_,truncatedpagerank_4_hp_div_truncatedpagerank_3_hp,truncatedpagerank_4_mp_div_truncatedpagerank_3_mp,truncatedpagerank_3_hp_div_truncatedpagerank_2_hp,truncatedpagerank_3_mp_div_truncatedpagerank_2_mp,truncatedpagerank_2_hp_div_truncatedpagerank_1_hp,truncatedpagerank_2_mp_div_truncatedpagerank_1_mp,log_OP_min_OP_truncatedpagerank_2_hp_div_truncatedpagerank_1_hp_truncatedpagerank_3_hp_div_truncatedpagerank_2_hp_truncatedpagerank_4_hp_div_truncatedpagerank_3_hp_CP__CP_,log_OP_min_OP_truncatedpagerank_2_mp_div_truncatedpagerank_1_mp_truncatedpagerank_3_mp_div_truncatedpagerank_2_mp_truncatedpagerank_4_mp_div_truncatedpagerank_3_mp_CP__CP_,log_OP_max_OP_truncatedpagerank_2_hp_div_truncatedpagerank_1_hp_truncatedpagerank_3_hp_div_truncatedpagerank_2_hp_truncatedpagerank_4_hp_div_truncatedpagerank_3_hp_CP__CP_,log_OP_max_OP_truncatedpagerank_2_mp_div_truncatedpagerank_1_mp_truncatedpagerank_3_mp_div_truncatedpagerank_2_mp_truncatedpagerank_4_mp_div_truncatedpagerank_3_mp_CP__CP_,log_OP_avg_OP_truncatedpagerank_2_hp_div_truncatedpagerank_1_hp_truncatedpagerank_3_hp_div_truncatedpagerank_2_hp_truncatedpagerank_4_hp_div_truncatedpagerank_3_hp_CP__CP_,log_OP_avg_OP_truncatedpagerank_2_mp_div_truncatedpagerank_1_mp_truncatedpagerank_3_mp_div_truncatedpagerank_2_mp_truncatedpagerank_4_mp_div_truncatedpagerank_3_mp_CP__CP_,class
8.194782,5.945421,5.786897,1.867997,7.946498,8.102081,13.891919,13.888978,5.722,13.954597,13.916781,0,-15.349345,-15.004127,23.198908,21.294766,20.791024,-0.348609,-0.424096,15.000736,14.58003,-16.619934,-16.399712,-24.594494,2.833213,3.135494,6.428105,6.88551,0,2.995732,3.367296,6.464588,18.182558,18.484839,21.77745,15.004127,17.999859,18.371423,21.468715,0.302281,2.995732,17.141104,17.948566,17,9.09493,13.362896,8.249052,9.131081,11.553174,23.253179,24.135208,26.557301,2.173935,2.422094,1.871597,1.59202,8.480624,-15.140803,-15.060707,-15.056518,-15.048829,-15.461122,-15.553545,-15.569944,-15.569905,0.208542,0.288638,0.292827,0.300516,-0.456995,-0.549419,-0.565817,-0.565778,1.007719,1.000039,1.004198,0.983735,1.083391,0.911719,0.004189,-0.092424,0.080096,0.000039,0.031275,-0.035457,nonspam
11.135041,0,0,8.829272,11.109324,8.340695,11.109324,8.340695,2.087325,12.056493,13.222366,0,-11.789315,-11.055509,22.19055,11.789315,11.055509,-1.592732,-3.753246,10.196584,7.302262,-11.770798,-12.327137,-23.462179,2.833213,4.317488,6.428105,7.81682,2.833213,4.317488,6.428105,7.81682,14.622529,16.106803,18.217421,13.888722,15.372997,17.483614,18.872329,1.484275,1.484275,15.849758,15.115952,1,10.624712,13.362896,10.841598,11.921167,13.362896,21.897107,22.976676,24.418405,2.045032,1.441729,1.411809,0.970413,2.11399,-11.757981,-11.801301,-11.789272,-11.780161,-11.862674,-12.19331,-12.271655,-12.294472,0.031335,-0.011986,0.000044,0.009154,-0.807165,-1.137801,-1.216146,-1.238963,1.009152,0.977441,1.012102,0.924645,0.957605,0.718467,-0.04332,-0.330635,0.012029,-0.022817,-0.007072,-0.135227,nonspam
3.091042,2.944439,3.178054,-2.542843,6.77056,6.491452,9.714999,9.669505,3.065937,6.924612,6.156979,0,-18.494474,-18.396181,21.487223,21.438913,21.574235,-0.853043,-2.690513,17.641431,15.705668,-19.434342,-19.741109,-22.832152,1.386294,2.079442,5.493061,5.918894,0,1.609438,2.079442,5.743003,19.880769,20.573916,23.987536,18.396181,20.005619,20.475623,24.139184,0.693147,1.609438,19.880769,19.782475,4,6.118097,11.962018,3.367296,6.118097,10.722871,21.763477,24.514278,29.119052,4.604774,4.604774,3.708107,3.662995,99.960352,-18.559561,-18.602718,-18.64409,-18.695684,-18.7509,-18.916088,-19.068422,-19.192886,-0.065087,-0.108243,-0.149616,-0.20121,-0.354719,-0.519907,-0.672241,-0.796705,0.949714,0.88297,0.959472,0.858701,0.957762,0.847734,-0.051594,-0.165188,-0.041373,-0.124464,-0.045364,-0.147184,nonspam
0,1.098612,-50,-1.791759,0,-50,1.098612,-50,1.098612,6.647688,1.098612,0,-19.987935,-19.85769,19.85769,21.086548,-50,0.174093,-50,20.162028,-50,-21.292137,-21.230535,-21.230535,1.098612,2.197225,2.70805,3.465736,0,1.609438,2.302585,2.772589,21.086548,22.18516,22.695986,19.85769,21.467128,22.160275,22.630278,1.098612,1.609438,21.779695,21.243984,3,3.091042,9.1146,1.386294,3.091042,7.65112,21.243984,22.948732,27.50881,4.560078,4.560078,3.576506,3.556213,95.590909,-21.074701,-21.050097,-21.028629,-21.00463,-21.286587,-21.413161,-21.438127,-21.454559,-1.086766,-1.062162,-1.040694,-1.016695,-1.428897,-1.555471,-1.580437,-1.59687,1.024289,0.983702,1.0217,0.975343,1.024909,0.881109,0.021468,-0.126574,0.024604,-0.016433,0.023358,-0.054754,nonspam
0,1.098612,0,-5.292048,5.545177,6.641182,6.64379,6.641182,1.098612,2.397895,1.098612,0,-19.885531,-19.83122,19.83122,20.984143,19.83122,-50,-50,-50,-50,-17.726053,-18.911759,-18.911759,0,0,1.609438,1.94591,0,0.693147,0.693147,1.94591,19.885531,19.885531,21.494969,19.83122,20.524367,20.524367,21.77713,0,0.693147,-50,19.83122,1,1.94591,3.433987,0.693147,2.302585,2.484907,20.524367,22.133805,22.316127,0.538997,1.609438,1.32598,1.005522,1.2,-20.847706,-20.940125,-20.997395,-21.033132,-21.142517,-21.300574,-21.382562,-21.438476,-0.962175,-1.054594,-1.111864,-1.147601,-1.311297,-1.469354,-1.551342,-1.607256,0.964894,0.94562,0.944339,0.921283,0.911723,0.853801,-0.092419,-0.158057,-0.035737,-0.055914,-0.061536,-0.097721,nonspam
4.682131,1.098612,3.526361,1.23088,5.006181,4.177898,6.104793,7.704258,2.951722,8.643121,7.633854,0,-16.565545,-16.21776,20.899892,17.664157,19.744121,-0.262466,-0.337706,16.303079,15.880054,-17.962879,-17.614632,-22.296764,1.94591,2.302585,2.302585,4.75359,0,0,2.302585,2.302585,18.511455,18.86813,18.86813,16.21776,16.21776,18.520345,18.520345,0.356675,0,17.664157,-50,7,5.736572,10.860018,5.42495,5.398163,5.736572,21.64271,21.615923,21.954333,2.760418,0.742819,2.24619,0.400594,22.171946,-16.406366,-16.391831,-16.379981,-16.369628,-16.61131,-16.704619,-16.72393,-16.733511,0.159179,0.173714,0.185564,0.195917,-0.39355,-0.486859,-0.50617,-0.515751,1.010406,0.990465,1.011921,0.980874,1.014641,0.910912,0.010353,-0.093309,0.014535,-0.009581,0.012247,-0.040041,nonspam
9.8457,4.248495,4.248495,6.733231,7.692814,8.035621,11.941309,12.284116,1.846777,15.045423,11.692477,0,-11.336711,-10.776793,20.622493,15.585206,15.025289,-1.564225,-2.157717,9.772486,8.619076,-12.730537,-12.173099,-22.018799,2.302585,4.317488,5.983936,7.81682,0,2.70805,3.258097,5.690359,13.639296,15.654199,17.320647,10.776793,13.484844,14.03489,16.467153,2.014903,2.70805,15.511098,13.415851,10,11.534755,13.362896,9.942756,11.100572,11.646949,20.71955,21.877365,22.423743,1.134988,1.157815,0.818116,0.695125,4.80267,-11.22196,-11.255182,-11.303358,-11.356692,-11.263945,-11.464035,-11.593257,-11.714835,0.114751,0.081529,0.033353,-0.019982,-0.487152,-0.687241,-0.816463,-0.938042,0.948062,0.885522,0.952966,0.878779,0.967324,0.818657,-0.053335,-0.20009,-0.033222,-0.121578,-0.044874,-0.149677,nonspam
9.028699,3.951244,3.806662,1.797886,9.519652,9.588245,13.470895,13.394908,6.506168,12.884423,15.534866,0,-12.661568,-12.203355,21.232054,16.612812,16.010018,-1.46328,-0.864157,11.198289,11.339198,-14.026909,-13.598342,-22.62704,1.791759,4.317488,5.075174,5.961005,0,2.197225,4.718499,5.379897,14.453328,16.979056,17.736742,12.203355,14.40058,16.921854,17.583253,2.525729,2.197225,16.895675,14.282797,6,11.97659,13.362896,10.303806,12.669744,13.362896,22.507162,24.873099,25.566251,0.693153,2.365938,1.948017,1.688441,1,-12.442665,-12.411439,-12.420557,-12.427618,-12.704924,-12.763494,-12.765906,-12.762711,0.218903,0.250129,0.241011,0.233951,-0.501568,-0.560138,-0.56255,-0.559355,0.992964,1.0032,0.990924,0.997591,1.031718,0.943112,-0.009118,-0.05857,0.031226,0.003195,0.005189,-0.018876,nonspam
7.86442,2.70805,3.688879,4.660491,7.308878,7.298733,10.016928,10.987612,0,11.397066,7.86442,0,-13.502688,-12.34082,20.20524,16.210738,16.0297,-0.611352,-3.76216,12.891336,8.57866,-14.898305,-13.737328,-21.601748,1.609438,1.94591,2.397895,4.85203,0,0,0,1.94591,15.112126,15.448598,15.900583,12.34082,12.34082,12.34082,14.286731,0.336472,0,14.195835,-50,5,8.939974,10.055049,8.018625,8.491465,8.759982,20.359446,20.832285,21.100803,0.806743,0.47284,0.815562,0.307313,3.508722,-13.266582,-13.251981,-13.249388,-13.256087,-13.280137,-13.476845,-13.5336,-13.583652,0.236106,0.250707,0.2533,0.246601,-0.939316,-1.136025,-1.192779,-1.242832,0.993323,0.951179,1.002597,0.944826,1.014708,0.82143,-0.006699,-0.196709,0.014601,-0.050053,0.003536,-0.098924,nonspam
0,0.693147,0,-5.293305,5.94934,6.641182,6.642487,6.641182,0.693147,4.624973,0.693147,0,-19.624453,-19.60467,19.60467,20.3176,19.60467,-1.730626,-50,17.893827,-50,-21.020874,-21.00118,-21.00118,1.098612,1.098612,1.098612,1.098612,0,1.098612,1.098612,1.098612,20.723065,20.723065,20.723065,19.60467,20.703282,20.703282,20.703282,0,1.098612,-50,20.297817,3,2.772589,10.200699,1.098612,2.833213,6.614726,20.703282,22.437884,26.219396,3.842137,3.781512,3.379256,2.863134,43.882353,-20.268561,-20.347904,-20.431946,-20.510141,-20.509337,-20.669791,-20.746918,-20.823337,-0.644108,-0.723451,-0.807493,-0.885689,-0.904667,-1.065121,-1.142248,-1.218667,0.924784,0.926428,0.919393,0.925772,0.923723,0.851757,-0.084041,-0.160454,-0.078196,-0.076419,-0.080523,-0.103896,nonspam
