@relation '.\\uk-2007-05.obvious_features.csv'

@attribute number_of_pages numeric
@attribute length_of_hostname numeric
@attribute class {spam,nonspam}

@data
7,24,nonspam
8,22,nonspam
5,29,nonspam
179,22,spam
546,22,nonspam
23,22,nonspam
34,23,nonspam
53,17,nonspam
13,24,nonspam
1046,26,nonspam
4500,19,nonspam
22,16,nonspam
221,19,nonspam
9,24,nonspam
25,15,nonspam
1,21,nonspam
8,21,nonspam
3,27,nonspam
1,30,nonspam
54,16,nonspam
212,20,nonspam
1,22,nonspam
18,28,nonspam
162,26,nonspam
1,22,nonspam
1,22,nonspam
19,19,nonspam
36,26,nonspam
23,24,nonspam
60,21,nonspam
1,17,nonspam
1,15,nonspam
217,22,nonspam
1,19,nonspam
10,23,nonspam
9,23,nonspam
272,20,nonspam
10,32,nonspam
1,22,nonspam
92,21,nonspam
17,20,nonspam
8,23,nonspam
45,25,nonspam
272,20,nonspam
19,20,nonspam
17,18,nonspam
23,16,nonspam
77,20,nonspam
58,20,nonspam
30,25,nonspam
9,20,nonspam
10,15,nonspam
66,21,nonspam
1,22,spam
21,25,nonspam
9,16,nonspam
12,25,nonspam
1,14,nonspam
17,26,nonspam
36,17,nonspam
11833,21,nonspam
58,23,nonspam
103,13,nonspam
30,22,nonspam
42,13,nonspam
1,27,nonspam
3,20,nonspam
166,15,nonspam
254,19,nonspam
2,27,nonspam
71,18,nonspam
1,19,nonspam
3,34,spam
452,14,nonspam
13,20,nonspam
4,24,nonspam
141,24,nonspam
9,19,nonspam
105,35,nonspam
47,16,nonspam
283,37,nonspam
1,19,nonspam
11,21,nonspam
31,26,nonspam
81,27,nonspam
6,22,nonspam
38,33,nonspam
29,22,nonspam
8,21,nonspam
8,25,nonspam
155,16,nonspam
426,27,nonspam
28,17,nonspam
40,38,nonspam
8,26,nonspam
381,15,nonspam
577,24,nonspam
17,18,nonspam
1,19,nonspam
2,19,nonspam
16,20,nonspam
26,15,nonspam
45,25,nonspam
145,22,nonspam
100,24,nonspam
53,25,nonspam
201,22,nonspam
139,38,nonspam
11,25,nonspam
7,21,spam
21,21,nonspam
8,26,nonspam
8,29,nonspam
2400,20,nonspam
58,22,nonspam
156,22,nonspam
8,21,nonspam
8,30,nonspam
9,31,nonspam
1,29,nonspam
108,24,nonspam
1,21,nonspam
69,21,nonspam
754,25,nonspam
518,16,nonspam
36,17,spam
42,22,nonspam
4,21,nonspam
23,16,nonspam
12,16,nonspam
234,20,nonspam
14,16,nonspam
95,20,nonspam
14917,18,nonspam
7,14,nonspam
37,18,nonspam
333,29,nonspam
8,20,nonspam
2,20,nonspam
52,20,nonspam
28,28,nonspam
149,27,nonspam
525,16,nonspam
7,32,nonspam
55,24,nonspam
3,20,nonspam
10,25,nonspam
7,18,nonspam
3,28,nonspam
17,31,nonspam
9,26,nonspam
71,24,nonspam
1,21,nonspam
1,22,nonspam
1,26,nonspam
32,20,nonspam
1,22,nonspam
8,19,nonspam
27,20,nonspam
15,22,nonspam
50,16,nonspam
67,14,nonspam
9,17,nonspam
4,23,nonspam
9,29,nonspam
1,24,nonspam
30,25,nonspam
3912,18,nonspam
16,14,nonspam
1,27,nonspam
4,22,nonspam
10,22,nonspam
21,20,nonspam
90,25,nonspam
75,25,nonspam
13,26,nonspam
70,23,nonspam
48825,17,nonspam
5,25,nonspam
1,22,nonspam
1,19,nonspam
663,17,nonspam
51,24,nonspam
4,18,nonspam
28,15,nonspam
10,15,nonspam
1,21,nonspam
5555,15,nonspam
34,21,nonspam
4,26,nonspam
1,19,nonspam
7,18,nonspam
17,21,nonspam
1,21,spam
9,19,nonspam
453,17,nonspam
359,16,nonspam
128,19,nonspam
659,18,nonspam
494,19,nonspam
11,19,nonspam
1510,17,nonspam
1,30,nonspam
22,31,nonspam
9,23,nonspam
1,21,spam
284,30,nonspam
2,17,spam
10,28,nonspam
1599,16,nonspam
1262,17,nonspam
12,27,nonspam
8,22,nonspam
2,22,nonspam
891,18,nonspam
1,27,nonspam
11,23,nonspam
175,25,nonspam
122,35,nonspam
1,36,nonspam
1,23,nonspam
57,18,nonspam
11,20,nonspam
13,21,spam
2,28,spam
1,29,nonspam
24,20,nonspam
383,29,nonspam
20,34,nonspam
13,34,nonspam
408,16,nonspam
46,23,nonspam
16,20,nonspam
12,24,nonspam
13,30,nonspam
42,19,nonspam
39,40,nonspam
1,24,nonspam
25,29,nonspam
28713,27,spam
719,18,nonspam
6402,22,spam
5,23,nonspam
21,24,nonspam
53,14,nonspam
10,21,nonspam
13030,18,nonspam
10,23,nonspam
1,17,spam
12,18,nonspam
81,23,nonspam
3,19,nonspam
1,20,nonspam
1,26,nonspam
272,20,nonspam
11,26,nonspam
6,20,nonspam
28394,18,nonspam
174,25,nonspam
1,25,spam
5,29,nonspam
99,24,nonspam
2,22,nonspam
55,30,nonspam
9,22,nonspam
13,24,nonspam
5,22,nonspam
3072,17,nonspam
325,25,nonspam
25,21,nonspam
1,19,nonspam
12,17,nonspam
5,29,nonspam
154,16,nonspam
6,26,nonspam
593,24,nonspam
23,27,nonspam
76,20,nonspam
29,22,nonspam
1,22,nonspam
17378,17,nonspam
57,14,nonspam
91,14,nonspam
1,16,nonspam
9677,27,nonspam
23,21,nonspam
185,19,nonspam
1,31,nonspam
31,26,nonspam
14,20,nonspam
5,20,nonspam
1,22,nonspam
830,26,nonspam
1692,25,nonspam
1,20,nonspam
12,25,nonspam
5,29,nonspam
225,32,nonspam
228,26,nonspam
328,32,nonspam
9,21,nonspam
11,25,nonspam
26,22,nonspam
1,23,spam
18,27,nonspam
103,31,nonspam
114,28,nonspam
6,32,nonspam
274,31,spam
1,27,nonspam
1,35,nonspam
73,19,nonspam
1,23,nonspam
24,31,nonspam
11,23,nonspam
2,24,nonspam
17,27,nonspam
12,30,nonspam
23,24,nonspam
36,18,nonspam
43229,17,nonspam
1,27,nonspam
51,23,nonspam
1,23,nonspam
3,15,nonspam
81,26,nonspam
11,29,nonspam
3,34,nonspam
31,21,nonspam
11,33,nonspam
19,23,nonspam
396,24,nonspam
93,30,nonspam
31,28,nonspam
334,25,spam
23,20,nonspam
67,25,nonspam
15,21,nonspam
27,27,nonspam
1,22,spam
82,19,nonspam
13,19,nonspam
9,24,nonspam
2,27,nonspam
1,26,nonspam
946,26,nonspam
28,24,nonspam
9,27,nonspam
55,16,nonspam
15,25,nonspam
21,20,nonspam
1,14,nonspam
2,23,nonspam
936,16,nonspam
781,21,nonspam
164,16,nonspam
10,14,nonspam
31,31,spam
9,25,nonspam
45,23,nonspam
199,29,nonspam
230,23,nonspam
16,23,nonspam
52,14,nonspam
62,40,nonspam
1,26,nonspam
64,27,nonspam
1,24,nonspam
55,57,nonspam
1,26,spam
351,25,nonspam
346,21,nonspam
212,27,nonspam
6,34,nonspam
7,29,nonspam
5,28,nonspam
1,35,nonspam
80,24,nonspam
20,20,nonspam
764,16,nonspam
79,20,nonspam
1,15,nonspam
19,23,nonspam
2,16,nonspam
1,26,nonspam
2,26,nonspam
52,24,nonspam
7,18,nonspam
43,25,nonspam
16475,21,nonspam
37,25,nonspam
179,25,nonspam
9,23,spam
11,25,nonspam
12,27,nonspam
65,17,nonspam
100,28,nonspam
538,29,nonspam
8279,25,nonspam
1,23,nonspam
1323,22,nonspam
385,16,nonspam
141,23,nonspam
20,31,nonspam
1330,16,nonspam
6465,18,nonspam
9,17,nonspam
1285,22,nonspam
7,22,nonspam
35,20,nonspam
31,25,nonspam
6,23,nonspam
13,21,nonspam
8,29,nonspam
32,20,nonspam
1,17,nonspam
87,17,nonspam
2,22,nonspam
2,22,spam
1,17,nonspam
60,22,nonspam
103,18,nonspam
14,17,nonspam
1,17,nonspam
7,34,nonspam
8,18,nonspam
1291,29,nonspam
5,29,nonspam
1,22,nonspam
2117,18,nonspam
129,21,nonspam
23,18,spam
1454,28,nonspam
99,27,nonspam
60,16,nonspam
76,23,nonspam
1,21,nonspam
127,29,nonspam
421,19,nonspam
19,16,nonspam
5,29,nonspam
66,22,nonspam
3,31,nonspam
1,21,nonspam
7,24,nonspam
5,20,nonspam
18,25,nonspam
17,21,nonspam
102,33,spam
47,32,nonspam
11,25,nonspam
24,26,nonspam
13,18,nonspam
5,22,nonspam
128,25,nonspam
12,22,nonspam
486,24,nonspam
1,21,nonspam
19,16,nonspam
300,16,nonspam
45,24,nonspam
21,28,nonspam
281,23,nonspam
42,21,nonspam
104,21,nonspam
27,24,nonspam
14,29,nonspam
53,27,nonspam
7,26,nonspam
203,35,nonspam
28,32,nonspam
10,24,nonspam
125,25,nonspam
5,28,nonspam
1,31,nonspam
8994,19,nonspam
18,20,nonspam
34,15,nonspam
136,16,nonspam
12,14,nonspam
78,18,nonspam
1,15,nonspam
41,26,nonspam
17,15,nonspam
11,20,nonspam
26,14,nonspam
123,24,nonspam
70,13,nonspam
73,15,nonspam
97,19,nonspam
4,25,nonspam
25,29,nonspam
179,21,nonspam
9,24,nonspam
213,20,nonspam
1,24,nonspam
7,21,nonspam
49,26,nonspam
9579,12,nonspam
75,14,spam
6,14,nonspam
39,14,nonspam
1,15,nonspam
2465,16,nonspam
44,18,nonspam
8,27,nonspam
1,20,nonspam
11,23,nonspam
1,22,nonspam
9,26,nonspam
1408,23,nonspam
6367,18,nonspam
33,22,nonspam
25218,20,nonspam
532,25,nonspam
13,19,nonspam
6,23,nonspam
1,30,spam
541,27,nonspam
4254,28,nonspam
14,19,nonspam
43950,26,nonspam
7,17,nonspam
81,26,nonspam
18,25,nonspam
1,25,spam
1,22,nonspam
24,33,spam
32,25,nonspam
287,22,nonspam
16,25,nonspam
1,19,nonspam
37,21,nonspam
14,28,nonspam
6,20,nonspam
1,27,nonspam
13,27,nonspam
5,28,nonspam
87,23,nonspam
176,18,nonspam
1,21,nonspam
106,29,nonspam
8,27,nonspam
10,30,nonspam
176,17,nonspam
129,14,nonspam
655,24,nonspam
1,31,nonspam
10,27,nonspam
3,29,nonspam
75,26,nonspam
1,27,nonspam
1,16,nonspam
7,19,nonspam
14439,15,nonspam
69,20,nonspam
10,15,nonspam
58,17,nonspam
8,21,nonspam
16,20,nonspam
1271,19,nonspam
3315,15,nonspam
22,19,nonspam
1,19,nonspam
1,20,nonspam
108,25,nonspam
10,21,nonspam
13,22,nonspam
1,19,nonspam
62,22,nonspam
24,20,nonspam
1512,21,nonspam
6,20,nonspam
1,22,nonspam
2,29,nonspam
454,26,nonspam
5,26,nonspam
14,30,nonspam
16,24,nonspam
2703,20,nonspam
6,30,nonspam
1,23,nonspam
1,19,nonspam
12,28,nonspam
8,31,nonspam
734,16,nonspam
8,19,nonspam
12,23,nonspam
85,29,nonspam
133,23,nonspam
12,28,nonspam
14,44,nonspam
5,19,nonspam
126,23,nonspam
1,18,nonspam
6134,28,nonspam
79,26,nonspam
37,26,nonspam
8,21,nonspam
14,15,nonspam
7429,19,nonspam
11393,19,nonspam
8,30,nonspam
16,25,nonspam
9,23,nonspam
15,27,nonspam
1,30,nonspam
99,14,nonspam
24,30,nonspam
1,36,nonspam
5,17,spam
31,20,nonspam
63,21,nonspam
5,24,nonspam
485,19,nonspam
10,23,nonspam
1,31,nonspam
16,29,nonspam
224,20,nonspam
34,24,nonspam
3,21,nonspam
191,31,nonspam
1,19,nonspam
3,29,nonspam
7,30,nonspam
33,21,nonspam
23,21,nonspam
2,37,nonspam
12,29,nonspam
4250,28,nonspam
1,26,nonspam
24,27,nonspam
2,22,nonspam
16,19,nonspam
1,23,nonspam
31,25,nonspam
54,20,nonspam
73,31,nonspam
25,25,nonspam
186,24,nonspam
23,27,nonspam
1,19,nonspam
1,29,spam
450,31,nonspam
1,27,nonspam
17,28,nonspam
3975,22,spam
1,26,nonspam
1,27,nonspam
6,24,nonspam
70,19,nonspam
47,20,nonspam
5,17,nonspam
1,20,nonspam
36,16,nonspam
38,23,nonspam
2,18,nonspam
9,20,nonspam
109,26,nonspam
57,17,nonspam
17,26,nonspam
1,16,spam
23,30,nonspam
23,26,nonspam
1,21,nonspam
12,25,nonspam
9,24,nonspam
1,38,nonspam
411,28,nonspam
4,26,nonspam
28,21,nonspam
235,25,nonspam
8,29,nonspam
5,23,nonspam
27,26,nonspam
1,29,nonspam
6,23,nonspam
6,22,nonspam
141,21,nonspam
10,27,nonspam
80,22,nonspam
58,25,nonspam
10,29,nonspam
115,26,nonspam
60,28,nonspam
1,31,nonspam
1,29,nonspam
1,25,nonspam
18,26,nonspam
1,19,nonspam
2882,24,nonspam
25,22,nonspam
1,26,nonspam
19,27,nonspam
23,24,nonspam
858,27,nonspam
41,27,nonspam
55,16,nonspam
354,14,nonspam
136,17,nonspam
60,22,nonspam
25,19,nonspam
1,23,nonspam
49882,21,nonspam
12,21,nonspam
426,20,nonspam
88,22,nonspam
9037,23,nonspam
883,14,nonspam
1,16,nonspam
46,14,nonspam
62,23,nonspam
11,28,nonspam
1,23,nonspam
339,30,nonspam
2358,23,spam
29,24,spam
93,24,nonspam
18,18,nonspam
101,24,nonspam
23,25,nonspam
1,33,spam
1,15,nonspam
4,17,nonspam
33,27,nonspam
485,19,nonspam
1,26,nonspam
8,32,nonspam
2,27,nonspam
7,15,nonspam
1,27,nonspam
55,35,nonspam
29,24,nonspam
1962,23,spam
11276,30,spam
15,25,nonspam
5,29,nonspam
2551,17,nonspam
1657,15,nonspam
6,19,nonspam
1,26,nonspam
21,27,nonspam
1032,14,nonspam
150,14,nonspam
21,18,nonspam
435,21,nonspam
232,23,nonspam
342,13,nonspam
19,23,nonspam
2819,19,nonspam
163,22,nonspam
1,30,nonspam
2394,23,nonspam
21448,27,nonspam
39130,17,nonspam
413,16,nonspam
15,24,nonspam
692,21,nonspam
5,26,nonspam
1,22,nonspam
25,29,nonspam
7,23,nonspam
17,18,nonspam
14,20,nonspam
9,18,nonspam
3,20,nonspam
13,18,nonspam
1,20,nonspam
97,15,nonspam
397,24,nonspam
257,27,nonspam
12406,20,nonspam
54,18,nonspam
221,31,nonspam
263,30,spam
10,20,nonspam
1,15,nonspam
58,14,nonspam
74,15,nonspam
11,16,nonspam
12,26,nonspam
124,16,nonspam
6,22,nonspam
54,31,nonspam
3,25,nonspam
7,22,nonspam
730,17,nonspam
12,23,nonspam
1231,24,nonspam
1,32,nonspam
253,29,nonspam
10,26,nonspam
4,15,nonspam
55,17,nonspam
24,31,nonspam
12,28,nonspam
7,33,nonspam
4,27,nonspam
339,16,nonspam
2,28,nonspam
13,22,nonspam
1255,21,nonspam
1,26,nonspam
22,22,nonspam
8,21,nonspam
22,20,nonspam
1,20,nonspam
15,26,nonspam
24,17,nonspam
7,21,nonspam
143,16,nonspam
8,19,nonspam
147,20,nonspam
5092,16,nonspam
15,22,nonspam
3117,28,nonspam
10,29,nonspam
43,21,nonspam
15,26,nonspam
14,29,nonspam
1546,23,nonspam
6,27,nonspam
1068,38,nonspam
7,18,spam
75,21,nonspam
11,15,nonspam
69,25,nonspam
22,31,nonspam
55,25,nonspam
5,17,nonspam
8,30,nonspam
17,26,spam
29,16,nonspam
5,21,spam
1,24,spam
8,20,nonspam
40,25,nonspam
75,21,nonspam
348,33,nonspam
49,20,nonspam
1,19,nonspam
15,27,nonspam
24,29,nonspam
1,22,nonspam
3,21,nonspam
7,20,nonspam
21,25,nonspam
1,23,nonspam
14,20,nonspam
52,18,nonspam
25,27,nonspam
202,27,nonspam
554,23,nonspam
35,22,nonspam
24,44,nonspam
156,16,nonspam
29,20,nonspam
20,13,nonspam
20,27,nonspam
11,16,nonspam
16,15,nonspam
1,21,nonspam
216,26,nonspam
1,21,spam
1,17,nonspam
26,20,nonspam
6,21,nonspam
7,20,nonspam
121,25,nonspam
1,30,nonspam
6,28,nonspam
96,25,nonspam
1,20,nonspam
22,24,nonspam
1,34,spam
975,26,nonspam
12,22,nonspam
1950,19,nonspam
468,18,nonspam
38633,17,spam
17,20,nonspam
19,20,nonspam
3,19,nonspam
151,17,nonspam
27,21,nonspam
1,25,spam
1,25,nonspam
1,25,nonspam
16,16,nonspam
1,23,nonspam
65,28,nonspam
105,18,nonspam
180,17,spam
5,30,nonspam
1,22,spam
33,37,nonspam
42,26,nonspam
73,19,nonspam
31,29,nonspam
2495,23,nonspam
2,22,nonspam
1,25,spam
1,23,spam
22,25,nonspam
1,22,nonspam
1,28,nonspam
5,23,nonspam
26,16,nonspam
12,20,nonspam
1552,32,nonspam
9,22,nonspam
1,25,spam
25,23,nonspam
2,26,spam
1,35,nonspam
1,21,nonspam
4439,15,nonspam
1444,20,nonspam
61,28,nonspam
1,17,nonspam
1,18,nonspam
2,18,nonspam
17,31,nonspam
28,21,nonspam
2,28,nonspam
67,18,nonspam
3,19,nonspam
18,14,nonspam
2,19,nonspam
69,15,nonspam
249,26,spam
25,28,nonspam
13,27,nonspam
1731,19,nonspam
88,24,nonspam
9,24,nonspam
1,30,nonspam
20,26,nonspam
1,26,nonspam
171,21,nonspam
369,16,nonspam
21,22,nonspam
1143,14,nonspam
310,30,nonspam
19,14,nonspam
73,30,nonspam
11,21,nonspam
262,15,spam
1,25,nonspam
18181,21,nonspam
1,19,nonspam
1,19,nonspam
95,21,nonspam
3257,14,nonspam
1,26,nonspam
1,15,nonspam
24,21,nonspam
297,26,nonspam
21,26,nonspam
2,22,nonspam
235,15,nonspam
2450,28,spam
28,25,nonspam
2,24,nonspam
24127,35,nonspam
333,24,nonspam
40,19,nonspam
1027,23,nonspam
1,28,nonspam
3,27,nonspam
22499,23,spam
68,20,nonspam
340,15,nonspam
59,15,nonspam
166,20,spam
11,14,nonspam
57,21,nonspam
1,22,nonspam
12,28,nonspam
24,20,nonspam
33,16,nonspam
1,27,nonspam
11,21,nonspam
146,18,nonspam
16,24,nonspam
55,20,nonspam
17,27,nonspam
14,26,nonspam
1,22,nonspam
92,21,nonspam
1,17,nonspam
18,17,nonspam
